"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AREQUIPA (000)",340701,8512,239,34966,104010,32148,53791,31228,75807
"Empleado (001)",123509,692,32,2996,21473,10903,25128,13836,48449
"Obrero (002)",64450,2388,73,10070,28900,6689,8661,3778,3891
"Trabajador independiente (003)",121496,4220,66,16322,41936,11772,16786,11142,19252
"Empleador o patrono (004)",8097,134,4,651,1875,618,1155,963,2697
"Trabajador familiar no remunerado (005)",11183,544,28,2288,4073,979,1141,1065,1065
"Trabajador del hogar (006)",11966,534,36,2639,5753,1187,920,444,453
"Hombres (008)",196330,2239,103,17344,65662,19519,29531,20158,41774
"Empleado (009)",63712,184,14,1370,12306,5899,11889,8077,23973
"Obrero (010)",49291,927,46,6800,23072,5272,6820,3172,3182
"Trabajador independiente (011)",73089,981,29,7895,26954,7499,9751,7703,12277
"Empleador o patrono (012)",5427,43,1,372,1277,401,720,687,1926
"Trabajador familiar no remunerado (013)",4157,91,13,782,1707,379,323,482,380
"Trabajador del hogar (014)",654,13,,125,346,69,28,37,36
"Mujeres (016)",144371,6273,136,17622,38348,12629,24260,11070,34033
"Empleado (017)",59797,508,18,1626,9167,5004,13239,5759,24476
"Obrero (018)",15159,1461,27,3270,5828,1417,1841,606,709
"Trabajador independiente (019)",48407,3239,37,8427,14982,4273,7035,3439,6975
"Empleador o patrono (020)",2670,91,3,279,598,217,435,276,771
"Trabajador familiar no remunerado (021)",7026,453,15,1506,2366,600,818,583,685
"Trabajador del hogar (022)",11312,521,36,2514,5407,1118,892,407,417
,,,,,,,,,
"URBANA (024)",331326,7691,214,32496,100469,31562,53016,30786,75092
"Empleado (025)",122720,675,32,2954,21281,10836,24940,13769,48233
"Obrero (026)",60645,2011,54,8949,27310,6478,8421,3649,3773
"Trabajador independiente (027)",118450,3944,62,15468,40803,11589,16576,11002,19006
"Empleador o patrono (028)",7572,114,3,548,1719,570,1097,911,2610
"Trabajador familiar no remunerado (029)",10063,416,27,1960,3648,908,1070,1012,1022
"Trabajador del hogar (030)",11876,531,36,2617,5708,1181,912,443,448
"Hombres (032)",189937,1888,88,15743,63069,19099,28973,19819,41258
"Empleado (033)",63221,174,14,1339,12181,5855,11775,8030,23853
"Obrero (034)",46509,756,35,6035,21831,5098,6614,3064,3076
"Trabajador independiente (035)",70873,844,27,7289,26070,7370,9599,7591,12083
"Empleador o patrono (036)",4993,32,,286,1152,361,669,639,1854
"Trabajador familiar no remunerado (037)",3696,70,12,671,1492,347,290,458,356
"Trabajador del hogar (038)",645,12,,123,343,68,26,37,36
"Mujeres (040)",141389,5803,126,16753,37400,12463,24043,10967,33834
"Empleado (041)",59499,501,18,1615,9100,4981,13165,5739,24380
"Obrero (042)",14136,1255,19,2914,5479,1380,1807,585,697
"Trabajador independiente (043)",47577,3100,35,8179,14733,4219,6977,3411,6923
"Empleador o patrono (044)",2579,82,3,262,567,209,428,272,756
"Trabajador familiar no remunerado (045)",6367,346,15,1289,2156,561,780,554,666
"Trabajador del hogar (046)",11231,519,36,2494,5365,1113,886,406,412
,,,,,,,,,
"RURAL (048)",9375,821,25,2470,3541,586,775,442,715
"Empleado (049)",789,17,,42,192,67,188,67,216
"Obrero (050)",3805,377,19,1121,1590,211,240,129,118
"Trabajador independiente (051)",3046,276,4,854,1133,183,210,140,246
"Empleador o patrono (052)",525,20,1,103,156,48,58,52,87
"Trabajador familiar no remunerado (053)",1120,128,1,328,425,71,71,53,43
"Trabajador del hogar (054)",90,3,,22,45,6,8,1,5
"Hombres (056)",6393,351,15,1601,2593,420,558,339,516
"Empleado (057)",491,10,,31,125,44,114,47,120
"Obrero (058)",2782,171,11,765,1241,174,206,108,106
"Trabajador independiente (059)",2216,137,2,606,884,129,152,112,194
"Empleador o patrono (060)",434,11,1,86,125,40,51,48,72
"Trabajador familiar no remunerado (061)",461,21,1,111,215,32,33,24,24
"Trabajador del hogar (062)",9,1,,2,3,1,2,,
"Mujeres (064)",2982,470,10,869,948,166,217,103,199
"Empleado (065)",298,7,,11,67,23,74,20,96
"Obrero (066)",1023,206,8,356,349,37,34,21,12
"Trabajador independiente (067)",830,139,2,248,249,54,58,28,52
"Empleador o patrono (068)",91,9,,17,31,8,7,4,15
"Trabajador familiar no remunerado (069)",659,107,,217,210,39,38,29,19
"Trabajador del hogar (070)",81,2,,20,42,5,6,1,5
