"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TACNA (000)",113629,79029,10257,9761,14582
"Sin nivel (001)",3379,3066,167,80,66
"Educación inicial (002)",88,76,6,2,4
"Primaria (003)",16196,14356,951,495,394
"Secundaria (004)",43103,34242,3747,2451,2663
"Superior no univ. incompleta (005)",8941,6367,1001,691,882
"Superior no univ. completa (006)",13442,7453,1363,1831,2795
"Superior univ. incompleta (007)",9095,5783,982,859,1471
"Superior univ. completa (008)",19385,7686,2040,3352,6307
"De 06 a 14 años (010)",780,708,49,17,6
"Sin nivel (011)",7,7,,,
"Educación inicial (012)",14,10,4,,
"Primaria (013)",381,356,13,10,2
"Secundaria (014)",378,335,32,7,4
"De 15 a 29 años (020)",36752,25918,4168,3181,3485
"Sin nivel (021)",132,104,12,11,5
"Educación inicial (022)",42,35,2,2,3
"Primaria (023)",1763,1497,138,74,54
"Secundaria (024)",17834,14131,1852,1093,758
"Superior no univ. incompleta (025)",4362,3134,565,343,320
"Superior no univ. completa (026)",4316,2640,505,521,650
"Superior univ. incompleta (027)",3757,2492,492,342,431
"Superior univ. completa (028)",4546,1885,602,795,1264
"De 30 a 44 años (030)",45283,30006,3973,4536,6768
"Sin nivel (031)",994,858,63,40,33
"Educación inicial (032)",32,31,,,1
"Primaria (033)",5492,4766,382,196,148
"Secundaria (034)",16130,12890,1277,902,1061
"Superior no univ. incompleta (035)",3258,2305,326,264,363
"Superior no univ. completa (036)",6314,3350,618,969,1377
"Superior univ. incompleta (037)",3483,2134,341,367,641
"Superior univ. completa (038)",9580,3672,966,1798,3144
"De 45 a 64 años (040)",27001,19062,1879,1916,4144
"Sin nivel (041)",1561,1451,69,26,15
"Primaria (043)",6873,6183,354,187,149
"Secundaria (044)",8031,6265,549,413,804
"Superior no univ. incompleta (045)",1235,857,100,82,196
"Superior no univ. completa (046)",2632,1324,221,336,751
"Superior univ. incompleta (047)",1753,1077,141,143,392
"Superior univ. completa (048)",4916,1905,445,729,1837
"De 65 y más años (050)",3813,3335,188,111,179
"Sin nivel (051)",685,646,23,3,13
"Primaria (053)",1687,1554,64,28,41
"Secundaria (054)",730,621,37,36,36
"Superior no univ. incompleta (055)",86,71,10,2,3
