"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia GRAU (000)",25090,11837,2070,245,10961
"Menos de 1 año (001)",531,460,26,,45
"De 1 a 14 años (002)",9223,7729,632,49,820
"De 15 a 29 años (003)",4926,1554,287,54,3034
"De 30 a 44 años (004)",4183,843,515,66,2766
"De 45 a 64 años (005)",3753,714,498,49,2497
"De 65 y mas años (006)",2474,537,112,27,1799
"Hombres (008)",12760,5706,1074,134,5857
"Menos de 1 año (009)",263,228,12,,23
"De 1 a 14 años (010)",4794,4020,321,24,431
"De 15 a 29 años (011)",2551,731,138,30,1654
"De 30 a 44 años (012)",2120,260,258,39,1568
"De 45 a 64 años (013)",1883,241,281,26,1337
"De 65 y mas años (014)",1149,226,64,15,844
"Mujeres (016)",12330,6131,996,111,5104
"Menos de 1 año (017)",268,232,14,,22
"De 1 a 14 años (018)",4429,3709,311,25,389
"De 15 a 29 años (019)",2375,823,149,24,1380
"De 30 a 44 años (020)",2063,583,257,27,1198
"De 45 a 64 años (021)",1870,473,217,23,1160
"De 65 y mas años (022)",1325,311,48,12,955
,,,,,
"URBANA (024)",9980,4012,1591,148,4241
"Menos de 1 año (025)",201,163,23,,15
"De 1 a 14 años (026)",3545,2644,509,44,351
"De 15 a 29 años (027)",2292,643,215,35,1401
"De 30 a 44 años (028)",1767,250,399,39,1082
"De 45 a 64 años (029)",1361,156,374,21,813
"De 65 y mas años (030)",814,156,71,9,579
"Hombres (032)",4951,1924,797,87,2149
"Menos de 1 año (033)",101,85,10,,6
"De 1 a 14 años (034)",1780,1328,250,21,182
"De 15 a 29 años (035)",1160,307,97,20,737
"De 30 a 44 años (036)",879,81,191,30,580
"De 45 a 64 años (037)",683,59,208,12,405
"De 65 y mas años (038)",348,64,41,4,239
"Mujeres (040)",5029,2088,794,61,2092
"Menos de 1 año (041)",100,78,13,,9
"De 1 a 14 años (042)",1765,1316,259,23,169
"De 15 a 29 años (043)",1132,336,118,15,664
"De 30 a 44 años (044)",888,169,208,9,502
"De 45 a 64 años (045)",678,97,166,9,408
"De 65 y mas años (046)",466,92,30,5,340
,,,,,
"RURAL (048)",15110,7825,479,97,6720
"Menos de 1 año (049)",330,297,3,,30
"De 1 a 14 años (050)",5678,5085,123,5,469
"De 15 a 29 años (051)",2634,911,72,19,1633
"De 30 a 44 años (052)",2416,593,116,27,1684
"De 45 a 64 años (053)",2392,558,124,28,1684
"De 65 y mas años (054)",1660,381,41,18,1220
"Hombres (056)",7809,3782,277,47,3708
"Menos de 1 año (057)",162,143,2,,17
"De 1 a 14 años (058)",3014,2692,71,3,249
"De 15 a 29 años (059)",1391,424,41,10,917
"De 30 a 44 años (060)",1241,179,67,9,988
"De 45 a 64 años (061)",1200,182,73,14,932
"De 65 y mas años (062)",801,162,23,11,605
"Mujeres (064)",7301,4043,202,50,3012
"Menos de 1 año (065)",168,154,1,,13
"De 1 a 14 años (066)",2664,2393,52,2,220
"De 15 a 29 años (067)",1243,487,31,9,716
"De 30 a 44 años (068)",1175,414,49,18,696
"De 45 a 64 años (069)",1192,376,51,14,752
"De 65 y mas años (070)",859,219,18,7,615
