"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CORONGO (000)",7889,394,830,1067,835,1083,1033,1819,828
"Sabe leer y escribir (001)",6569,,655,1058,823,1050,980,1535,468
"No sabe leer y escribir (002)",1320,394,175,9,12,33,53,284,360
"Hombres (004)",4032,206,432,542,443,573,515,931,390
"Sabe leer y escribir (005)",3545,,342,537,436,569,503,862,296
"No sabe leer y escribir (006)",487,206,90,5,7,4,12,69,94
"Mujeres (008)",3857,188,398,525,392,510,518,888,438
"Sabe leer y escribir (009)",3024,,313,521,387,481,477,673,172
"No sabe leer y escribir (010)",833,188,85,4,5,29,41,215,266
,,,,,,,,,
"URBANA (012)",3915,159,377,470,374,498,531,999,507
"Sabe leer y escribir (013)",3360,,298,467,368,488,512,903,324
"No sabe leer y escribir (014)",555,159,79,3,6,10,19,96,183
"Hombres (016)",2010,84,204,248,195,259,277,514,229
"Sabe leer y escribir (017)",1811,,161,247,192,258,275,487,191
"No sabe leer y escribir (018)",199,84,43,1,3,1,2,27,38
"Mujeres (020)",1905,75,173,222,179,239,254,485,278
"Sabe leer y escribir (021)",1549,,137,220,176,230,237,416,133
"No sabe leer y escribir (022)",356,75,36,2,3,9,17,69,145
,,,,,,,,,
"RURAL (024)",3974,235,453,597,461,585,502,820,321
"Sabe leer y escribir (025)",3209,,357,591,455,562,468,632,144
"No sabe leer y escribir (026)",765,235,96,6,6,23,34,188,177
"Hombres (028)",2022,122,228,294,248,314,238,417,161
"Sabe leer y escribir (029)",1734,,181,290,244,311,228,375,105
"No sabe leer y escribir (030)",288,122,47,4,4,3,10,42,56
"Mujeres (032)",1952,113,225,303,213,271,264,403,160
"Sabe leer y escribir (033)",1475,,176,301,211,251,240,257,39
"No sabe leer y escribir (034)",477,113,49,2,2,20,24,146,121
