"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CORONGO (000)",2196,20,69,173,269,451,719,495
"De 12 a 14 años (001)",2,,,,,,,2
"De 15 a 19 años (002)",52,,,,,,34,18
"De 20 a 24 años (003)",175,,,,,,110,65
"De 25 a 29 años (004)",221,,,,,4,157,60
"De 30 a 34 años (005)",230,,,,,25,161,44
"De 35 a 39 años (006)",257,,,,5,87,132,33
"De 40 a 44 años (007)",217,,,,15,87,87,28
"De 45 a 49 años (008)",187,,,,28,107,23,29
"De 50 y más años (009)",855,20,69,173,221,141,15,216
"PEA (010)",429,,7,20,48,121,127,106
"De 15 a 19 años (012)",7,,,,,,5,2
"De 20 a 24 años (013)",27,,,,,,13,14
"De 25 a 29 años (014)",44,,,,,1,23,20
"De 30 a 34 años (015)",56,,,,,7,31,18
"De 35 a 39 años (016)",65,,,,3,25,27,10
"De 40 a 44 años (017)",63,,,,7,25,22,9
"De 45 a 49 años (018)",49,,,,4,29,5,11
"De 50 y más años (019)",118,,7,20,34,34,1,22
"Ocupada (020)",423,,7,20,48,121,126,101
"De 15 a 19 años (022)",7,,,,,,5,2
"De 20 a 24 años (023)",26,,,,,,13,13
"De 25 a 29 años (024)",44,,,,,1,23,20
"De 30 a 34 años (025)",55,,,,,7,31,17
"De 35 a 39 años (026)",64,,,,3,25,26,10
"De 40 a 44 años (027)",62,,,,7,25,22,8
"De 45 a 49 años (028)",49,,,,4,29,5,11
"De 50 y más años (029)",116,,7,20,34,34,1,20
"Desocupada (030)",6,,,,,,1,5
"De 20 a 24 años (033)",1,,,,,,,1
"De 30 a 34 años (035)",1,,,,,,,1
"De 35 a 39 años (036)",1,,,,,,1,
"De 40 a 44 años (037)",1,,,,,,,1
"De 50 y más años (039)",2,,,,,,,2
"No PEA (040)",1767,20,62,153,221,330,592,389
"De 12 a 14 años (041)",2,,,,,,,2
"De 15 a 19 años (042)",45,,,,,,29,16
"De 20 a 24 años (043)",148,,,,,,97,51
"De 25 a 29 años (044)",177,,,,,3,134,40
"De 30 a 34 años (045)",174,,,,,18,130,26
"De 35 a 39 años (046)",192,,,,2,62,105,23
"De 40 a 44 años (047)",154,,,,8,62,65,19
"De 45 a 49 años (048)",138,,,,24,78,18,18
"De 50 y más años (049)",737,20,62,153,187,107,14,194
,,,,,,,,
"URBANA (060)",1172,15,47,116,157,215,318,304
"De 15 a 19 años (062)",24,,,,,,14,10
"De 20 a 24 años (063)",79,,,,,,42,37
"De 25 a 29 años (064)",106,,,,,2,70,34
"De 30 a 34 años (065)",112,,,,,13,68,31
