"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARAÑON (000)",6180,88,1992,2188,1531,381
"Empleado (001)",635,1,141,364,126,3
"Obrero (002)",516,8,248,154,93,13
"Trabajador independiente (003)",3732,,910,1393,1113,316
"Empleador o patrono (004)",117,,23,52,39,3
"Trabajador familiar no remunerado (005)",1093,78,610,211,153,41
"Trabajador del hogar (006)",87,1,60,14,7,5
"Hombres (008)",5300,70,1681,1867,1349,333
"Empleado (009)",402,,85,225,89,3
"Obrero (010)",474,6,225,145,86,12
"Trabajador independiente (011)",3423,,820,1285,1031,287
"Empleador o patrono (012)",114,,22,51,38,3
"Trabajador familiar no remunerado (013)",849,64,505,150,103,27
"Trabajador del hogar (014)",38,,24,11,2,1
"Mujeres (016)",880,18,311,321,182,48
"Empleado (017)",233,1,56,139,37,
"Obrero (018)",42,2,23,9,7,1
"Trabajador independiente (019)",309,,90,108,82,29
"Empleador o patrono (020)",3,,1,1,1,
"Trabajador familiar no remunerado (021)",244,14,105,61,50,14
"Trabajador del hogar (022)",49,1,36,3,5,4
,,,,,,
"URBANA (024)",1217,18,327,509,291,72
"Empleado (025)",440,1,88,246,102,3
"Obrero (026)",92,1,27,34,26,4
"Trabajador independiente (027)",489,,106,196,133,54
"Empleador o patrono (028)",6,,,3,3,
"Trabajador familiar no remunerado (029)",154,15,79,28,25,7
"Trabajador del hogar (030)",36,1,27,2,2,4
"Hombres (032)",857,12,212,351,222,60
"Empleado (033)",272,,51,149,69,3
"Obrero (034)",85,1,26,30,24,4
"Trabajador independiente (035)",396,,74,156,119,47
"Empleador o patrono (036)",5,,,2,3,
"Trabajador familiar no remunerado (037)",97,11,59,14,7,6
"Trabajador del hogar (038)",2,,2,,,
"Mujeres (040)",360,6,115,158,69,12
"Empleado (041)",168,1,37,97,33,
"Obrero (042)",7,,1,4,2,
"Trabajador independiente (043)",93,,32,40,14,7
"Empleador o patrono (044)",1,,,1,,
"Trabajador familiar no remunerado (045)",57,4,20,14,18,1
"Trabajador del hogar (046)",34,1,25,2,2,4
,,,,,,
"RURAL (048)",4963,70,1665,1679,1240,309
"Empleado (049)",195,,53,118,24,
"Obrero (050)",424,7,221,120,67,9
"Trabajador independiente (051)",3243,,804,1197,980,262
"Empleador o patrono (052)",111,,23,49,36,3
"Trabajador familiar no remunerado (053)",939,63,531,183,128,34
"Trabajador del hogar (054)",51,,33,12,5,1
"Hombres (056)",4443,58,1469,1516,1127,273
"Empleado (057)",130,,34,76,20,
"Obrero (058)",389,5,199,115,62,8
"Trabajador independiente (059)",3027,,746,1129,912,240
"Empleador o patrono (060)",109,,22,49,35,3
"Trabajador familiar no remunerado (061)",752,53,446,136,96,21
"Trabajador del hogar (062)",36,,22,11,2,1
"Mujeres (064)",520,12,196,163,113,36
"Empleado (065)",65,,19,42,4,
"Obrero (066)",35,2,22,5,5,1
"Trabajador independiente (067)",216,,58,68,68,22
"Empleador o patrono (068)",2,,1,,1,
"Trabajador familiar no remunerado (069)",187,10,85,47,32,13
"Trabajador del hogar (070)",15,,11,1,3,
