"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",24490,23437,132,4210,4188,3597,5389,3421,1805,695,1053,91969
"De 12 a 14 años (001)",89,40,1,33,6,,,,,,49,45
"De 15 a 19 años (002)",1676,1439,20,1079,290,39,11,,,,237,1820
"De 20 a 24 años (003)",3310,3034,23,1290,1051,482,174,14,,,276,5654
"De 25 a 29 años (004)",3513,3330,20,715,962,770,724,127,12,,183,8988
"De 30 a 34 años (005)",3001,2933,8,371,592,679,880,329,66,8,68,10193
"De 35 a 39 años (006)",3032,2982,11,204,429,582,977,530,216,33,50,12699
"De 40 a 44 años (007)",2477,2442,9,149,296,333,785,533,263,74,35,11699
"De 45 a 49 años (008)",1995,1963,6,116,190,266,513,489,274,109,32,10231
"De 50 y más años (009)",5397,5274,34,253,372,446,1325,1399,974,471,123,30640
"PEA (010)",8116,7761,45,1393,1492,1284,1744,1098,511,194,355,29398
"De 12 a 14 años (011)",9,6,,5,1,,,,,,3,7
"De 15 a 19 años (012)",307,269,2,207,56,3,1,,,,38,332
"De 20 a 24 años (013)",860,750,9,381,234,103,20,3,,,110,1259
"De 25 a 29 años (014)",1055,961,7,272,302,204,147,26,3,,94,2311
"De 30 a 34 años (015)",1037,997,2,193,254,230,223,84,9,2,40,3009
"De 35 a 39 años (016)",1209,1191,6,114,243,258,362,150,51,7,18,4429
"De 40 a 44 años (017)",1062,1049,2,82,175,165,327,193,89,16,13,4545
"De 45 a 49 años (018)",841,829,6,57,98,147,217,188,85,31,12,3930
"De 50 y más años (019)",1736,1709,11,82,129,174,447,454,274,138,27,9576
"Ocupada (020)",7911,7577,44,1327,1455,1263,1715,1080,503,190,334,28846
