"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PATAZ (000)",17376,16682,85,2725,2742,2532,4019,2759,1412,408,694,67554
"De 12 a 14 años (001)",28,16,2,11,3,,,,,,12,17
"De 15 a 19 años (002)",622,565,7,462,86,10,,,,,57,664
"De 20 a 24 años (003)",2054,1843,18,893,628,249,52,3,,,211,3137
"De 25 a 29 años (004)",2297,2149,3,495,673,558,377,38,5,,148,5401
"De 30 a 34 años (005)",2201,2125,8,272,439,458,702,218,28,,76,7214
"De 35 a 39 años (006)",2154,2123,6,137,279,387,755,415,131,13,31,9111
"De 40 a 44 años (007)",1599,1569,6,89,131,183,504,436,175,45,30,7891
"De 45 a 49 años (008)",1382,1365,9,69,99,164,370,345,246,63,17,7381
"De 50 y más años (009)",5039,4927,26,297,404,523,1259,1304,827,287,112,26738
"PEA (010)",2705,2492,20,558,525,399,548,288,119,35,213,8406
"De 12 a 14 años (011)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (012)",52,46,,41,4,1,,,,,6,52
"De 20 a 24 años (013)",279,217,3,145,51,17,1,,,,62,303
"De 25 a 29 años (014)",387,317,,133,110,50,22,1,1,,70,611
"De 30 a 34 años (015)",416,387,3,108,117,72,66,20,1,,29,973
"De 35 a 39 años (016)",390,376,3,47,88,90,104,35,9,,14,1241
"De 40 a 44 años (017)",337,327,4,22,53,49,128,57,11,3,10,1320
"De 45 a 49 años (018)",275,272,4,20,37,48,86,53,18,6,3,1177
"De 50 y más años (019)",566,549,3,41,65,72,141,122,79,26,17,2728
"Ocupada (020)",2639,2437,20,531,518,392,541,282,118,35,202,8268
"De 12 a 14 años (021)",2,1,,1,,,,,,,1,1
