"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",10457,1560,3436,2792,2669
"Asiste actualmente (001)",7408,736,3217,2545,910
"No asiste (002)",3049,824,219,247,1759
"Hombres (004)",5181,759,1726,1409,1287
"Asiste actualmente (005)",3782,347,1615,1294,526
"No asiste (006)",1399,412,111,115,761
"Mujeres (008)",5276,801,1710,1383,1382
"Asiste actualmente (009)",3626,389,1602,1251,384
"No asiste (010)",1650,412,108,132,998
,,,,,
"URBANA (012)",1499,219,463,379,438
"Asiste actualmente (013)",1081,123,435,345,178
"No asiste (014)",418,96,28,34,260
"Hombres (016)",731,116,222,201,192
"Asiste actualmente (017)",544,63,208,181,92
"No asiste (018)",187,53,14,20,100
"Mujeres (020)",768,103,241,178,246
"Asiste actualmente (021)",537,60,227,164,86
"No asiste (022)",231,43,14,14,160
,,,,,
"RURAL (024)",8958,1341,2973,2413,2231
"Asiste actualmente (025)",6327,613,2782,2200,732
"No asiste (026)",2631,728,191,213,1499
"Hombres (028)",4450,643,1504,1208,1095
"Asiste actualmente (029)",3238,284,1407,1113,434
"No asiste (030)",1212,359,97,95,661
"Mujeres (032)",4508,698,1469,1205,1136
"Asiste actualmente (033)",3089,329,1375,1087,298
"No asiste (034)",1419,369,94,118,838
