"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARAVELI (000)",8597,141,3355,2722,863,316,152,41,4,,1003
"Catolica (001)",7725,127,3008,2433,799,296,137,34,4,,887
"Cristiana / Evangelica (002)",489,7,215,162,34,11,8,3,,,49
"Otra (003)",249,7,86,83,24,7,5,2,,,35
"Ninguna (004)",134,,46,44,6,2,2,2,,,32
,,,,,,,,,,,
"URBANA (006)",5979,102,2269,1876,661,246,119,30,3,,673
"Catolica (007)",5431,93,2041,1706,613,234,110,24,3,,607
"Cristiana / Evangelica (008)",311,4,138,102,25,5,5,3,,,29
"Otra (009)",165,5,59,47,19,6,2,2,,,25
"Ninguna (010)",72,,31,21,4,1,2,1,,,12
,,,,,,,,,,,
"RURAL (012)",2618,39,1086,846,202,70,33,11,1,,330
"Catolica (013)",2294,34,967,727,186,62,27,10,1,,280
"Cristiana / Evangelica (014)",178,3,77,60,9,6,3,,,,20
"Otra (015)",84,2,27,36,5,1,3,,,,10
"Ninguna (016)",62,,15,23,2,1,,1,,,20
