"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANAS (000)",9607,9153,53,1411,1459,1404,2397,1612,669,148,454,36757
"De 12 a 14 años (001)",21,8,,7,1,,,,,,13,9
"De 15 a 19 años (002)",213,171,3,138,24,5,1,,,,42,205
"De 20 a 24 años (003)",891,729,1,385,250,68,22,3,,,162,1199
"De 25 a 29 años (004)",1052,951,1,249,296,230,164,11,,,101,2288
"De 30 a 34 años (005)",1030,984,3,151,222,241,284,71,12,,46,3124
"De 35 a 39 años (006)",1145,1123,2,98,160,219,401,202,36,5,22,4486
"De 40 a 44 años (007)",980,975,5,63,90,121,320,234,114,28,5,4797
"De 45 a 49 años (008)",868,855,1,52,79,93,248,239,116,27,13,4417
"De 50 y más años (009)",3407,3357,37,268,337,427,957,852,391,88,50,16232
"Conviviente (010)",2295,2210,6,654,587,344,415,143,46,15,85,6130
"De 12 a 14 años (011)",12,3,,3,,,,,,,9,3
"De 15 a 19 años (012)",159,124,1,100,20,3,,,,,35,149
"De 20 a 24 años (013)",555,532,1,290,185,42,13,1,,,23,848
"De 25 a 29 años (014)",540,532,1,144,175,120,85,7,,,8,1253
"De 30 a 34 años (015)",368,364,,52,94,85,104,27,2,,4,1143
"De 35 a 39 años (016)",256,254,,24,47,47,92,37,7,,2,951
"De 40 a 44 años (017)",155,154,,13,24,19,52,29,13,4,1,684
"De 45 a 49 años (018)",94,93,,8,16,11,27,18,10,3,1,423
"De 50 y más años (019)",156,154,3,20,26,17,42,24,14,8,2,676
"Separado(a) (020)",431,424,2,191,94,49,55,22,10,1,7,1002
"De 12 a 14 años (021)",2,,,,,,,,,,2,
"De 15 a 19 años (022)",21,19,,18,1,,,,,,2,20
"De 20 a 24 años (023)",55,54,,36,17,1,,,,,1,73
