"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LA UNION (000)",5843,1019,9,2073,1512,202,438,121,469
"Empleado (001)",718,11,,31,73,44,197,36,326
"Obrero (002)",769,116,2,242,305,26,43,14,21
"Trabajador independiente (003)",2795,493,3,1139,756,101,157,49,97
"Empleador o patrono (004)",65,7,,32,10,3,6,2,5
"Trabajador familiar no remunerado (005)",1401,360,3,596,342,27,34,19,20
"Trabajador del hogar (006)",95,32,1,33,26,1,1,1,
"Hombres (008)",3541,355,4,1344,1084,144,263,82,265
"Empleado (009)",369,5,,15,48,26,97,19,159
"Obrero (010)",617,61,1,204,261,22,38,12,18
"Trabajador independiente (011)",1976,230,1,873,578,76,111,39,68
"Empleador o patrono (012)",49,2,,25,8,2,5,2,5
"Trabajador familiar no remunerado (013)",514,54,2,221,183,18,11,10,15
"Trabajador del hogar (014)",16,3,,6,6,,1,,
"Mujeres (016)",2302,664,5,729,428,58,175,39,204
"Empleado (017)",349,6,,16,25,18,100,17,167
"Obrero (018)",152,55,1,38,44,4,5,2,3
"Trabajador independiente (019)",819,263,2,266,178,25,46,10,29
"Empleador o patrono (020)",16,5,,7,2,1,1,,
"Trabajador familiar no remunerado (021)",887,306,1,375,159,9,23,9,5
"Trabajador del hogar (022)",79,29,1,27,20,1,,1,
,,,,,,,,,
"URBANA (024)",2924,328,5,869,831,131,291,89,380
"Empleado (025)",605,8,,21,57,35,170,30,284
"Obrero (026)",418,31,2,131,191,21,21,9,12
"Trabajador independiente (027)",1224,171,1,432,382,53,84,34,67
"Empleador o patrono (028)",48,5,,24,7,2,3,2,5
"Trabajador familiar no remunerado (029)",586,110,2,244,173,20,12,13,12
"Trabajador del hogar (030)",43,3,,17,21,,1,1,
"Hombres (032)",1673,87,2,532,542,97,154,58,201
"Empleado (033)",299,3,,11,34,22,80,15,134
"Obrero (034)",337,15,1,109,157,19,18,8,10
"Trabajador independiente (035)",773,57,,296,261,40,49,25,45
"Empleador o patrono (036)",37,,,19,6,2,3,2,5
"Trabajador familiar no remunerado (037)",215,12,1,91,79,14,3,8,7
"Trabajador del hogar (038)",12,,,6,5,,1,,
"Mujeres (040)",1251,241,3,337,289,34,137,31,179
"Empleado (041)",306,5,,10,23,13,90,15,150
"Obrero (042)",81,16,1,22,34,2,3,1,2
"Trabajador independiente (043)",451,114,1,136,121,13,35,9,22
"Empleador o patrono (044)",11,5,,5,1,,,,
"Trabajador familiar no remunerado (045)",371,98,1,153,94,6,9,5,5
"Trabajador del hogar (046)",31,3,,11,16,,,1,
,,,,,,,,,
"RURAL (048)",2919,691,4,1204,681,71,147,32,89
"Empleado (049)",113,3,,10,16,9,27,6,42
"Obrero (050)",351,85,,111,114,5,22,5,9
"Trabajador independiente (051)",1571,322,2,707,374,48,73,15,30
"Empleador o patrono (052)",17,2,,8,3,1,3,,
"Trabajador familiar no remunerado (053)",815,250,1,352,169,7,22,6,8
"Trabajador del hogar (054)",52,29,1,16,5,1,,,
"Hombres (056)",1868,268,2,812,542,47,109,24,64
"Empleado (057)",70,2,,4,14,4,17,4,25
"Obrero (058)",280,46,,95,104,3,20,4,8
"Trabajador independiente (059)",1203,173,1,577,317,36,62,14,23
"Empleador o patrono (060)",12,2,,6,2,,2,,
"Trabajador familiar no remunerado (061)",299,42,1,130,104,4,8,2,8
"Trabajador del hogar (062)",4,3,,,1,,,,
"Mujeres (064)",1051,423,2,392,139,24,38,8,25
"Empleado (065)",43,1,,6,2,5,10,2,17
"Obrero (066)",71,39,,16,10,2,2,1,1
"Trabajador independiente (067)",368,149,1,130,57,12,11,1,7
"Empleador o patrono (068)",5,,,2,1,1,1,,
"Trabajador familiar no remunerado (069)",516,208,,222,65,3,14,4,
"Trabajador del hogar (070)",48,26,1,16,4,1,,,
