"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",17816,17168,5868,2607,2456,1784,2240,1238,650,325,648,39769
"De 12 a 14 años (001)",1546,1537,1529,6,2,,,,,,9,10
"De 15 a 19 años (002)",2464,2417,2152,229,30,4,2,,,,47,309
"De 20 a 24 años (003)",2993,2763,1188,1009,431,108,22,5,,,230,2319
"De 25 a 29 años (004)",2369,2187,391,622,697,317,148,11,1,,182,3669
"De 30 a 34 años (005)",1836,1760,171,276,514,394,348,46,8,3,76,4388
"De 35 a 39 años (006)",1638,1597,112,161,314,369,449,160,28,4,41,5152
"De 40 a 44 años (007)",1207,1185,80,82,160,185,373,202,80,23,22,4821
"De 45 a 49 años (008)",936,931,50,56,94,132,240,195,119,45,5,4445
"De 50 y más años (009)",2827,2791,195,166,214,275,658,619,414,250,36,14656
"PEA (010)",4888,4661,1381,762,751,515,674,338,162,78,227,11172
"De 12 a 14 años (011)",48,47,47,,,,,,,,1,
"De 15 a 19 años (012)",516,509,452,49,7,,1,,,,7,67
"De 20 a 24 años (013)",910,828,471,240,89,23,4,1,,,82,510
"De 25 a 29 años (014)",753,678,196,177,205,63,32,5,,,75,943
"De 30 a 34 años (015)",643,612,76,118,190,115,101,10,1,1,31,1364
"De 35 a 39 años (016)",544,532,49,69,115,112,135,44,8,,12,1577
"De 40 a 44 años (017)",440,429,30,36,62,66,135,72,21,7,11,1671
"De 45 a 49 años (018)",312,311,17,20,39,54,75,60,40,6,1,1378
"De 50 y más años (019)",722,715,43,53,44,82,191,146,92,64,7,3662
"Ocupada (020)",4305,4127,1097,682,685,479,631,328,149,76,178,10466
"De 12 a 14 años (021)",43,42,42,,,,,,,,1,
