"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANCABAMBA (000)",114992,28161,3272,58637,18637,1641,2592,718,1334
"Jefe o Jefa (001)",28948,7186,25,15884,3421,463,1072,241,656
"Esposa(o)/ compa¤era(o) (002)",18783,7292,33,8599,1748,232,513,91,275
"Hijo(a)/ hijastro(a) (003)",52173,9557,2552,27169,11031,695,686,282,201
"Yerno/ nuera (004)",1071,147,4,525,277,29,52,17,20
"Nieto(a) (005)",6447,1690,486,3289,891,45,31,12,3
"Padres/ suegros (006)",1051,771,,245,16,5,12,,2
"Otro(a) pariente (007)",5600,1380,158,2593,1063,122,156,58,70
"Trabajador(a) del hogar (008)",164,25,4,90,39,5,,,1
"Pensionista (009)",53,1,,6,12,5,8,2,19
"Otro(a) no pariente (010)",702,112,10,237,139,40,62,15,87
"Hombres (012)",57529,10311,1631,31403,10818,812,1377,435,742
"Jefe o Jefa (013)",21984,3844,10,13395,2832,352,825,203,523
"Esposa(o)/ compa¤era(o) (014)",619,108,,301,132,15,39,5,19
"Hijo(a)/ hijastro(a) (015)",27556,4680,1283,14163,6478,327,354,174,97
"Yerno/ nuera (016)",359,30,,158,110,14,26,8,13
"Nieto(a) (017)",3396,855,256,1714,520,23,22,4,2
"Padres/ suegros (018)",252,124,,113,5,3,5,,2
"Otro(a) pariente (019)",2908,602,80,1399,639,55,67,31,35
"Trabajador(a) del hogar (020)",17,9,,3,5,,,,
"Pensionista (021)",27,,,3,8,1,4,,11
"Otro(a) no pariente (022)",411,59,2,154,89,22,35,10,40
"Mujeres (024)",57463,17850,1641,27234,7819,829,1215,283,592
"Jefe o Jefa (025)",6964,3342,15,2489,589,111,247,38,133
"Esposa(o)/ compa¤era(o) (026)",18164,7184,33,8298,1616,217,474,86,256
"Hijo(a)/ hijastro(a) (027)",24617,4877,1269,13006,4553,368,332,108,104
"Yerno/ nuera (028)",712,117,4,367,167,15,26,9,7
"Nieto(a) (029)",3051,835,230,1575,371,22,9,8,1
"Padres/ suegros (030)",799,647,,132,11,2,7,,
"Otro(a) pariente (031)",2692,778,78,1194,424,67,89,27,35
"Trabajador(a) del hogar (032)",147,16,4,87,34,5,,,1
"Pensionista (033)",26,1,,3,4,4,4,2,8
"Otro(a) no pariente (034)",291,53,8,83,50,18,27,5,47
,,,,,,,,,
"URBANA (036)",14278,1483,372,4712,3968,839,1543,431,930
"Jefe o Jefa (037)",4038,311,1,1288,1002,260,628,120,428
"Esposa(o)/ compa¤era(o) (038)",2235,249,,623,524,142,397,69,231
"Hijo(a)/ hijastro(a) (039)",5315,584,259,1862,1735,263,330,161,121
"Yerno/ nuera (040)",160,4,,25,51,23,29,12,16
"Nieto(a) (041)",721,128,68,298,176,27,14,7,3
"Padres/ suegros (042)",148,66,,57,10,3,10,,2
"Otro(a) pariente (043)",1130,107,35,364,337,84,99,49,55
"Trabajador(a) del hogar (044)",118,10,4,68,30,5,,,1
"Pensionista (045)",36,,,3,10,5,4,2,12
