"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia SANTA",,,,,,
"Viviendas particulares (001)",89198,83874,4390,781,127,26
"Ocupantes presentes (002)",392074,345582,35207,8928,1867,490
"Casa independiente",,,,,,
"Viviendas particulares (004)",83754,78571,4274,763,121,25
"Ocupantes presentes (005)",373504,328211,34293,8742,1784,474
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",954,892,50,7,5,
"Ocupantes presentes (008)",3342,2810,396,68,68,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",482,459,20,3,,
"Ocupantes presentes (011)",1734,1543,162,29,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",367,345,17,3,1,1
"Ocupantes presentes (014)",1408,1198,150,29,15,16
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",352,352,,,,
"Ocupantes presentes (017)",1053,1053,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",3155,3123,27,5,,
"Ocupantes presentes (020)",10701,10445,196,60,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",125,123,2,,,
"Ocupantes presentes (023)",297,287,10,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",9,9,,,,
"Ocupantes presentes (026)",35,35,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",82681,77445,4318,766,126,26
"Ocupantes presentes (029)",366116,320341,34669,8767,1849,490
"Casa independiente",,,,,,
"Viviendas particulares (031)",77592,72497,4202,748,120,25
"Ocupantes presentes (032)",348607,304031,33755,8581,1766,474
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",954,892,50,7,5,
"Ocupantes presentes (035)",3342,2810,396,68,68,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",482,459,20,3,,
"Ocupantes presentes (038)",1734,1543,162,29,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",367,345,17,3,1,1
"Ocupantes presentes (041)",1408,1198,150,29,15,16
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",3155,3123,27,5,,
"Ocupantes presentes (047)",10701,10445,196,60,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",122,120,2,,,
"Ocupantes presentes (050)",289,279,10,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",9,9,,,,
"Ocupantes presentes (053)",35,35,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",6517,6429,72,15,1,
"Ocupantes presentes (056)",25958,25241,538,161,18,
"Casa independiente",,,,,,
"Viviendas particulares (058)",6162,6074,72,15,1,
"Ocupantes presentes (059)",24897,24180,538,161,18,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",352,352,,,,
"Ocupantes presentes (071)",1053,1053,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",3,3,,,,
"Ocupantes presentes (077)",8,8,,,,
"Otro tipo",,,,,,
