"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHINCHA (000)",181734,7772,18315,19993,18577,34625,28591,41229,12632
"Sin nivel (001)",12355,7772,982,124,117,242,294,1293,1531
"Educación inicial (002)",5328,,5129,75,28,64,32,,
"Primaria (003)",52538,,12204,11894,1223,2637,3722,12996,7862
"Secundaria (004)",70765,,,7900,14058,16656,13714,16294,2143
"Superior no univ. incompleto (005)",10920,,,,1913,4640,2348,1886,133
"Superior no univ. completo (006)",14885,,,,,5563,4866,4075,381
"Superior univ. incompleto (007)",5972,,,,1238,2456,982,1199,97
"Superior univ. completo (008)",8971,,,,,2367,2633,3486,485
"Hombres (010)",89619,3946,9463,10167,9291,17229,13741,19636,6146
"Sin nivel (011)",5354,3946,514,66,66,132,88,256,286
"Educación inicial (012)",2737,,2644,39,9,28,17,,
"Primaria (013)",23313,,6305,6118,586,1034,1139,4297,3834
"Secundaria (014)",37421,,,3944,7222,8623,7084,9219,1329
"Superior no univ. incompleto (015)",5530,,,,865,2277,1187,1116,85
"Superior no univ. completo (016)",7306,,,,,2744,2331,2012,219
"Superior univ. incompleto (017)",3210,,,,543,1260,561,768,78
"Superior univ. completo (018)",4748,,,,,1131,1334,1968,315
"Mujeres (020)",92115,3826,8852,9826,9286,17396,14850,21593,6486
"Sin nivel (021)",7001,3826,468,58,51,110,206,1037,1245
"Educación inicial (022)",2591,,2485,36,19,36,15,,
"Primaria (023)",29225,,5899,5776,637,1603,2583,8699,4028
"Secundaria (024)",33344,,,3956,6836,8033,6630,7075,814
"Superior no univ. incompleto (025)",5390,,,,1048,2363,1161,770,48
"Superior no univ. completo (026)",7579,,,,,2819,2535,2063,162
"Superior univ. incompleto (027)",2762,,,,695,1196,421,431,19
"Superior univ. completo (028)",4223,,,,,1236,1299,1518,170
,,,,,,,,,
"URBANA (030)",161558,6871,16300,17810,16506,30834,25580,36647,11010
"Sin nivel (031)",10451,6871,869,109,106,215,222,913,1146
"Educación inicial (032)",4801,,4614,73,27,57,30,,
"Primaria (033)",44887,,10817,10479,1004,2053,3009,10743,6782
