"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia AYABACA (000)",69341,50213,19128
"De 3 a 5 años (001)",11674,247,11427
"De 6 a 11 años (002)",22626,16666,5960
"De 12 a 16 años (003)",18214,17658,556
"De 17 a 24 años (004)",16827,15642,1185
"Hombres (005)",35824,26264,9560
"De 3 a 5 años (006)",5884,130,5754
"De 6 a 11 años (007)",11495,8433,3062
"De 12 a 16 años (008)",9418,9161,257
"De 17 a 24 años (009)",9027,8540,487
"Mujeres (010)",33517,23949,9568
"De 3 a 5 años (011)",5790,117,5673
"De 6 a 11 años (012)",11131,8233,2898
"De 12 a 16 años (013)",8796,8497,299
"De 17 a 24 años (014)",7800,7102,698
,,,
"URBANA (015)",6942,5866,1076
"De 3 a 5 años (016)",882,48,834
"De 6 a 11 años (017)",1921,1726,195
"De 12 a 16 años (018)",2015,1995,20
"De 17 a 24 años (019)",2124,2097,27
"Hombres (020)",3438,2898,540
"De 3 a 5 años (021)",434,24,410
"De 6 a 11 años (022)",959,852,107
"De 12 a 16 años (023)",932,923,9
"De 17 a 24 años (024)",1113,1099,14
"Mujeres (025)",3504,2968,536
"De 3 a 5 años (026)",448,24,424
"De 6 a 11 años (027)",962,874,88
"De 12 a 16 años (028)",1083,1072,11
"De 17 a 24 años (029)",1011,998,13
,,,
"RURAL (030)",62399,44347,18052
"De 3 a 5 años (031)",10792,199,10593
"De 6 a 11 años (032)",20705,14940,5765
"De 12 a 16 años (033)",16199,15663,536
"De 17 a 24 años (034)",14703,13545,1158
"Hombres (035)",32386,23366,9020
"De 3 a 5 años (036)",5450,106,5344
"De 6 a 11 años (037)",10536,7581,2955
"De 12 a 16 años (038)",8486,8238,248
"De 17 a 24 años (039)",7914,7441,473
"Mujeres (040)",30013,20981,9032
"De 3 a 5 años (041)",5342,93,5249
"De 6 a 11 años (042)",10169,7359,2810
"De 12 a 16 años (043)",7713,7425,288
"De 17 a 24 años (044)",6789,6104,685
