"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ATALAYA (000)",12743,12274,3500,1690,1551,1262,1902,1200,1169,469
"Católica (001)",6770,6511,1969,946,837,668,963,580,548,259
"Cristiana/Evangélica (002)",2786,2689,719,341,346,261,441,279,302,97
"Otra (003)",663,646,181,99,82,67,88,60,69,17
"Ninguna (004)",2524,2428,631,304,286,266,410,281,250,96
,,,,,,,,,,
"URBANA (006)",4989,4810,1423,782,711,501,694,369,330,179
"Católica (007)",3271,3149,940,526,479,328,420,245,211,122
"Cristiana/Evangélica (008)",1059,1031,288,152,147,96,186,80,82,28
"Otra (009)",382,368,106,62,48,45,50,30,27,14
"Ninguna (010)",277,262,89,42,37,32,38,14,10,15
,,,,,,,,,,
"RURAL (012)",7754,7464,2077,908,840,761,1208,831,839,290
"Católica (013)",3499,3362,1029,420,358,340,543,335,337,137
"Cristiana/Evangélica (014)",1727,1658,431,189,199,165,255,199,220,69
"Otra (015)",281,278,75,37,34,22,38,30,42,3
"Ninguna (016)",2247,2166,542,262,249,234,372,267,240,81
