"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia CORONEL PORTILLO",,,,,
"Viviendas particulares (001)",1304,491,167,238,408
"Ocupantes presentes (002)",5893,2152,761,1114,1866
"Casa independiente",,,,,
"Viviendas particulares (004)",1207,450,155,230,372
"Ocupantes presentes (005)",5540,2004,724,1077,1735
"Departamento en edificio",,,,,
"Viviendas particulares (007)",7,3,,,4
"Ocupantes presentes (008)",26,14,,,12
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",60,24,9,5,22
"Ocupantes presentes (011)",216,94,24,17,81
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",16,5,1,3,7
"Ocupantes presentes (014)",63,18,3,20,22
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",11,7,1,,3
"Ocupantes presentes (020)",37,18,3,,16
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",3,2,1,,
"Ocupantes presentes (023)",11,4,7,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",1264,461,167,228,408
"Ocupantes presentes (029)",5685,1994,761,1064,1866
"Casa independiente",,,,,
"Viviendas particulares (031)",1167,420,155,220,372
"Ocupantes presentes (032)",5332,1846,724,1027,1735
"Departamento en edificio",,,,,
"Viviendas particulares (034)",7,3,,,4
"Ocupantes presentes (035)",26,14,,,12
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",60,24,9,5,22
"Ocupantes presentes (038)",216,94,24,17,81
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",16,5,1,3,7
"Ocupantes presentes (041)",63,18,3,20,22
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",11,7,1,,3
"Ocupantes presentes (047)",37,18,3,,16
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",3,2,1,,
"Ocupantes presentes (050)",11,4,7,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",40,30,,10,
"Ocupantes presentes (056)",208,158,,50,
"Casa independiente",,,,,
"Viviendas particulares (058)",40,30,,10,
"Ocupantes presentes (059)",208,158,,50,
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
