"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAMBOPATA (000)",67849,2306,999,19175,26052,4479,4489,5011,5338
"Hombres (001)",36011,701,512,9357,14532,2443,2365,2908,3193
"Mujeres (002)",31838,1605,487,9818,11520,2036,2124,2103,2145
"PEA (003)",34985,1013,49,5827,14133,3075,3483,3136,4269
"Hombres (004)",23097,444,21,3589,10031,2009,2119,2128,2756
"Mujeres (005)",11888,569,28,2238,4102,1066,1364,1008,1513
"Ocupada (006)",34005,990,45,5641,13673,2983,3409,3051,4213
"Hombres (007)",22485,433,19,3476,9730,1955,2081,2071,2720
"Mujeres (008)",11520,557,26,2165,3943,1028,1328,980,1493
"Desocupada (009)",980,23,4,186,460,92,74,85,56
"Hombres (010)",612,11,2,113,301,54,38,57,36
"Mujeres (011)",368,12,2,73,159,38,36,28,20
"No PEA (012)",32864,1293,950,13348,11919,1404,1006,1875,1069
"Hombres (013)",12914,257,491,5768,4501,434,246,780,437
"Mujeres (014)",19950,1036,459,7580,7418,970,760,1095,632
,,,,,,,,,
"URBANA (018)",56607,1481,884,15139,21730,3929,3953,4598,4893
"Hombres (019)",29192,370,459,7135,11700,2087,1985,2600,2856
"Mujeres (020)",27415,1111,425,8004,10030,1842,1968,1998,2037
"PEA (021)",28512,569,38,4101,11356,2679,3038,2832,3899
"Hombres (022)",18005,191,16,2276,7741,1695,1763,1871,2452
"Mujeres (023)",10507,378,22,1825,3615,984,1275,961,1447
"Ocupada (024)",27624,554,34,3936,10945,2591,2967,2753,3844
"Hombres (025)",17458,186,14,2177,7474,1643,1727,1820,2417
"Mujeres (026)",10166,368,20,1759,3471,948,1240,933,1427
"Desocupada (027)",888,15,4,165,411,88,71,79,55
"Hombres (028)",547,5,2,99,267,52,36,51,35
"Mujeres (029)",341,10,2,66,144,36,35,28,20
"No PEA (030)",28095,912,846,11038,10374,1250,915,1766,994
"Hombres (031)",11187,179,443,4859,3959,392,222,729,404
"Mujeres (032)",16908,733,403,6179,6415,858,693,1037,590
,,,,,,,,,
"RURAL (036)",11242,825,115,4036,4322,550,536,413,445
"Hombres (037)",6819,331,53,2222,2832,356,380,308,337
"Mujeres (038)",4423,494,62,1814,1490,194,156,105,108
"PEA (039)",6473,444,11,1726,2777,396,445,304,370
"Hombres (040)",5092,253,5,1313,2290,314,356,257,304
"Mujeres (041)",1381,191,6,413,487,82,89,47,66
"Ocupada (042)",6381,436,11,1705,2728,392,442,298,369
"Hombres (043)",5027,247,5,1299,2256,312,354,251,303
"Mujeres (044)",1354,189,6,406,472,80,88,47,66
"Desocupada (045)",92,8,,21,49,4,3,6,1
"Hombres (046)",65,6,,14,34,2,2,6,1
"Mujeres (047)",27,2,,7,15,2,1,,
"No PEA (048)",4769,381,104,2310,1545,154,91,109,75
"Hombres (049)",1727,78,48,909,542,42,24,51,33
"Mujeres (050)",3042,303,56,1401,1003,112,67,58,42
