"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUANCABAMBA",,,,,,,,,
"Viviendas particulares (001)",5416,1045,1503,260,506,28,6,17,2051
"Ocupantes presentes (002)",22426,4219,6089,1091,2058,115,25,70,8759
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",5327,1028,1457,254,503,28,6,17,2034
"Ocupantes presentes (005)",22117,4150,5915,1070,2044,115,25,70,8728
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",32,4,19,,,,,,9
"Ocupantes presentes (011)",121,18,88,,,,,,15
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",42,9,25,6,1,,,,1
"Ocupantes presentes (014)",154,37,82,21,11,,,,3
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",8,,,,1,,,,7
"Ocupantes presentes (017)",14,,,,1,,,,13
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",4,4,,,,,,,
"Ocupantes presentes (020)",14,14,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,,2,,1,,,,
"Ocupantes presentes (023)",6,,4,,2,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2876,762,1330,144,285,24,4,11,316
"Ocupantes presentes (029)",11455,3101,5321,569,1140,100,14,44,1166
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2796,745,1284,138,284,24,4,11,306
"Ocupantes presentes (032)",11162,3032,5147,548,1129,100,14,44,1148
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",32,4,19,,,,,,9
"Ocupantes presentes (038)",121,18,88,,,,,,15
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",42,9,25,6,1,,,,1
"Ocupantes presentes (041)",154,37,82,21,11,,,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",4,4,,,,,,,
"Ocupantes presentes (047)",14,14,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,,2,,,,,,
"Ocupantes presentes (050)",4,,4,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2540,283,173,116,221,4,2,6,1735
"Ocupantes presentes (056)",10971,1118,768,522,918,15,11,26,7593
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2531,283,173,116,219,4,2,6,1728
"Ocupantes presentes (059)",10955,1118,768,522,915,15,11,26,7580
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",8,,,,1,,,,7
"Ocupantes presentes (071)",14,,,,1,,,,13
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,1,,,,
"Ocupantes presentes (077)",2,,,,2,,,,
"Otro tipo",,,,,,,,,
