"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia REQUENA (000)",33819,5808,9972,9031,9008
"Asiste actualmente (001)",21500,2867,9066,7224,2343
"No asiste (002)",12319,2941,906,1807,6665
"Hombres (004)",17339,2952,5107,4772,4508
"Asiste actualmente (005)",11369,1448,4620,3923,1378
"No asiste (006)",5970,1504,487,849,3130
"Mujeres (008)",16480,2856,4865,4259,4500
"Asiste actualmente (009)",10131,1419,4446,3301,965
"No asiste (010)",6349,1437,419,958,3535
,,,,,
"URBANA (012)",19424,3040,5445,5579,5360
"Asiste actualmente (013)",13166,1591,5026,4751,1798
"No asiste (014)",6258,1449,419,828,3562
"Hombres (016)",9948,1540,2799,2930,2679
"Asiste actualmente (017)",6960,811,2554,2543,1052
"No asiste (018)",2988,729,245,387,1627
"Mujeres (020)",9476,1500,2646,2649,2681
"Asiste actualmente (021)",6206,780,2472,2208,746
"No asiste (022)",3270,720,174,441,1935
,,,,,
"RURAL (024)",14395,2768,4527,3452,3648
"Asiste actualmente (025)",8334,1276,4040,2473,545
"No asiste (026)",6061,1492,487,979,3103
"Hombres (028)",7391,1412,2308,1842,1829
"Asiste actualmente (029)",4409,637,2066,1380,326
"No asiste (030)",2982,775,242,462,1503
"Mujeres (032)",7004,1356,2219,1610,1819
"Asiste actualmente (033)",3925,639,1974,1093,219
"No asiste (034)",3079,717,245,517,1600
