"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHUMBIVILCAS (000)",481,464,17
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",16,16,
"Hospital, clinica (004)",39,37,2
"Cárcel, centro de readaptación social (005)",26,26,
"Otro (008)",44,29,15
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",356,356,
