"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CANAS (000)",9607,66,3553,3428,1062,318,134,44,13,,989
"Sin Nivel (001)",3330,27,1119,1250,431,156,75,27,8,,237
"Educación Inicial (002)",14,2,8,2,1,,,,,,1
"Primaria (003)",4428,28,1851,1557,424,115,47,15,4,,387
"Secundaria (004)",1442,8,519,506,128,25,6,,,,250
"Sup. no Univ. Incompleta (005)",103,,17,36,16,6,1,,,,27
"Sup. no Univ. Completa (006)",134,1,17,39,35,12,4,1,1,,24
"Sup. Univ. Incompleta (007)",74,,11,21,6,,,,,,36
"Sup. Univ. Completa (008)",82,,11,17,21,4,1,1,,,27
,,,,,,,,,,,
"URBANA (010)",1580,13,549,513,231,56,29,6,4,,179
"Sin Nivel (011)",320,7,104,100,50,18,9,3,2,,27
"Educación Inicial (012)",4,,3,,1,,,,,,
"Primaria (013)",571,1,243,190,63,15,11,2,1,,45
"Secundaria (014)",436,5,165,147,58,8,5,,,,48
"Sup. no Univ. Incompleta (015)",48,,7,17,11,2,1,,,,10
"Sup. no Univ. Completa (016)",85,,8,30,27,9,2,1,1,,7
"Sup. Univ. Incompleta (017)",55,,10,15,4,,,,,,26
"Sup. Univ. Completa (018)",61,,9,14,17,4,1,,,,16
,,,,,,,,,,,
"RURAL (020)",8027,53,3004,2915,831,262,105,38,9,,810
"Sin Nivel (021)",3010,20,1015,1150,381,138,66,24,6,,210
"Educación Inicial (022)",10,2,5,2,,,,,,,1
"Primaria (023)",3857,27,1608,1367,361,100,36,13,3,,342
"Secundaria (024)",1006,3,354,359,70,17,1,,,,202
"Sup. no Univ. Incompleta (025)",55,,10,19,5,4,,,,,17
"Sup. no Univ. Completa (026)",49,1,9,9,8,3,2,,,,17
"Sup. Univ. Incompleta (027)",19,,1,6,2,,,,,,10
"Sup. Univ. Completa (028)",21,,2,3,4,,,1,,,11
