"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ANDAHUAYLAS (000)",53370,155305,138447,,2721,89.1,1.8
"De 12 a 14 años (001)",6122,29,27,,5,93.1,17.2
"De 15 a 19 años (002)",7791,965,942,295,97.6,30.6,
"De 20 a 24 años (003)",5619,5150,5054,662,98.1,12.9,
"De 25 a 29 años (004)",5100,9209,9011,647,97.8,7,
"De 30 a 34 años (005)",4940,13642,13178,544,96.6,4,
"De 35 a 39 años (006)",4724,17553,16682,358,95,2,
"De 40 a 44 años (007)",3815,17530,16213,162,92.5,0.9,
"De 45 a 49 años (008)",3094,16695,15180,46,90.9,0.3,
"De 50 y más años (009)",12165,74532,62160,2,83.4,,
"PEA (010)",14379,41508,38073,662,91.7,1.6,
"De 12 a 14 años (011)",324,4,2,1,50,25,
"De 15 a 19 años (012)",1317,204,199,50,97.5,24.5,
"De 20 a 24 años (013)",1718,1251,1233,136,98.6,10.9,
"De 25 a 29 años (014)",1843,2658,2601,159,97.9,6,
"De 30 a 34 años (015)",1973,4422,4311,157,97.5,3.6,
"De 35 a 39 años (016)",1884,6014,5744,97,95.5,1.6,
"De 40 a 44 años (017)",1527,6212,5807,44,93.5,0.7,
"De 45 a 49 años (018)",1178,5482,5025,16,91.7,0.3,
"De 50 y más años (019)",2615,15261,13151,2,86.2,,
"Ocupada (020)",13896,40606,37224,638,91.7,1.6,
"De 12 a 14 años (021)",314,4,2,1,50,25,
"De 15 a 19 años (022)",1230,192,187,45,97.4,23.4,
"De 20 a 24 años (023)",1633,1207,1190,130,98.6,10.8,
"De 25 a 29 años (024)",1744,2543,2489,154,97.9,6.1,
"De 30 a 34 años (025)",1908,4283,4180,154,97.6,3.6,
"De 35 a 39 años (026)",1846,5887,5617,93,95.4,1.6,
"De 40 a 44 años (027)",1494,6070,5673,44,93.5,0.7,
"De 45 a 49 años (028)",1153,5401,4947,15,91.6,0.3,
"De 50 y más años (029)",2574,15019,12939,2,86.2,,
"Desocupada (030)",483,902,849,24,94.1,2.7,
"De 12 a 14 años (031)",10,,,,,,
"De 15 a 19 años (032)",87,12,12,5,100,41.7,
"De 20 a 24 años (033)",85,44,43,6,97.7,13.6,
"De 25 a 29 años (034)",99,115,112,5,97.4,4.3,
"De 30 a 34 años (035)",65,139,131,3,94.2,2.2,
