"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN IGNACIO (000)",805,247,558
"De 14 a 29 años (001)",454,181,273
"De 30 a 44 años (002)",214,57,157
"De 45 a 64 años (003)",107,9,98
"De 65 y más años (004)",30,,30
"Hombres (005)",614,168,446
"De 14 a 29 años (006)",312,113,199
"De 30 a 44 años (007)",183,47,136
"De 45 a 64 años (008)",94,8,86
"De 65 y más años (009)",25,,25
"Mujeres (010)",191,79,112
"De 14 a 29 años (011)",142,68,74
"De 30 a 44 años (012)",31,10,21
"De 45 a 64 años (013)",13,1,12
"De 65 y más años (014)",5,,5
,,,
"AREA URBANA (015)",249,74,175
"De 14 a 29 años (016)",134,57,77
"De 30 a 44 años (017)",77,13,64
"De 45 a 64 años (018)",32,4,28
"De 65 y más años (019)",6,,6
"Hombres (020)",167,36,131
"De 14 a 29 años (021)",76,26,50
"De 30 a 44 años (022)",59,7,52
"De 45 a 64 años (023)",26,3,23
"De 65 y más años (024)",6,,6
"Mujeres (025)",82,38,44
"De 14 a 29 años (026)",58,31,27
"De 30 a 44 años (027)",18,6,12
"De 45 a 64 años (028)",6,1,5
,,,
"AREA RURAL (030)",556,173,383
"De 14 a 29 años (031)",320,124,196
"De 30 a 44 años (032)",137,44,93
"De 45 a 64 años (033)",75,5,70
"De 65 y más años (034)",24,,24
"Hombres (035)",447,132,315
"De 14 a 29 años (036)",236,87,149
"De 30 a 44 años (037)",124,40,84
"De 45 a 64 años (038)",68,5,63
"De 65 y más años (039)",19,,19
"Mujeres (040)",109,41,68
"De 14 a 29 años (041)",84,37,47
"De 30 a 44 años (042)",13,4,9
"De 45 a 64 años (043)",7,,7
"De 65 y más años (044)",5,,5
