"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia QUISPICANCHI (000)",26385,3551,49,12230,7474,670,1010,487,914
"Empleado (001)",2792,39,2,256,834,241,566,194,660
"Obrero (002)",4306,231,5,1704,1964,116,162,78,46
"Trabajador independiente (003)",13767,2103,21,7378,3435,262,231,173,164
"Empleador o patrono (004)",451,32,,191,185,10,10,7,16
"Trabajador familiar no remunerado (005)",4803,1119,20,2577,963,39,36,29,20
"Trabajador del hogar (006)",266,27,1,124,93,2,5,6,8
"Hombres (008)",17818,1384,25,8603,5741,441,667,360,597
"Empleado (009)",1837,11,1,144,606,163,345,151,416
"Obrero (010)",3807,136,4,1501,1803,102,150,72,39
"Trabajador independiente (011)",9780,1048,11,5689,2506,150,152,111,113
"Empleador o patrono (012)",325,16,,152,130,4,5,5,13
"Trabajador familiar no remunerado (013)",2011,166,9,1097,674,21,14,18,12
"Trabajador del hogar (014)",58,7,,20,22,1,1,3,4
"Mujeres (016)",8567,2167,24,3627,1733,229,343,127,317
"Empleado (017)",955,28,1,112,228,78,221,43,244
"Obrero (018)",499,95,1,203,161,14,12,6,7
"Trabajador independiente (019)",3987,1055,10,1689,929,112,79,62,51
"Empleador o patrono (020)",126,16,,39,55,6,5,2,3
"Trabajador familiar no remunerado (021)",2792,953,11,1480,289,18,22,11,8
"Trabajador del hogar (022)",208,20,1,104,71,1,4,3,4
,,,,,,,,,
"URBANA (024)",11004,633,18,3279,4547,542,836,412,737
"Empleado (025)",2213,31,1,161,657,211,463,167,522
"Obrero (026)",2276,78,3,647,1238,85,127,63,35
"Trabajador independiente (027)",5024,380,8,1872,2058,207,204,148,147
"Empleador o patrono (028)",234,8,,61,126,10,10,6,13
"Trabajador familiar no remunerado (029)",1067,119,5,451,396,28,28,24,16
"Trabajador del hogar (030)",190,17,1,87,72,1,4,4,4
"Hombres (032)",7040,193,12,1963,3236,340,537,295,464
"Empleado (033)",1431,9,,92,473,139,273,128,317
"Obrero (034)",1999,47,3,551,1121,73,115,59,30
"Trabajador independiente (035)",2938,117,5,1070,1316,110,133,89,98
"Empleador o patrono (036)",143,1,,40,79,4,5,4,10
"Trabajador familiar no remunerado (037)",495,15,4,197,232,13,11,14,9
"Trabajador del hogar (038)",34,4,,13,15,1,,1,
"Mujeres (040)",3964,440,6,1316,1311,202,299,117,273
"Empleado (041)",782,22,1,69,184,72,190,39,205
"Obrero (042)",277,31,,96,117,12,12,4,5
"Trabajador independiente (043)",2086,263,3,802,742,97,71,59,49
"Empleador o patrono (044)",91,7,,21,47,6,5,2,3
"Trabajador familiar no remunerado (045)",572,104,1,254,164,15,17,10,7
"Trabajador del hogar (046)",156,13,1,74,57,,4,3,4
,,,,,,,,,
"RURAL (048)",15381,2918,31,8951,2927,128,174,75,177
"Empleado (049)",579,8,1,95,177,30,103,27,138
"Obrero (050)",2030,153,2,1057,726,31,35,15,11
"Trabajador independiente (051)",8743,1723,13,5506,1377,55,27,25,17
"Empleador o patrono (052)",217,24,,130,59,,,1,3
"Trabajador familiar no remunerado (053)",3736,1000,15,2126,567,11,8,5,4
"Trabajador del hogar (054)",76,10,,37,21,1,1,2,4
"Hombres (056)",10778,1191,13,6640,2505,101,130,65,133
"Empleado (057)",406,2,1,52,133,24,72,23,99
"Obrero (058)",1808,89,1,950,682,29,35,13,9
"Trabajador independiente (059)",6842,931,6,4619,1190,40,19,22,15
"Empleador o patrono (060)",182,15,,112,51,,,1,3
"Trabajador familiar no remunerado (061)",1516,151,5,900,442,8,3,4,3
"Trabajador del hogar (062)",24,3,,7,7,,1,2,4
"Mujeres (064)",4603,1727,18,2311,422,27,44,10,44
"Empleado (065)",173,6,,43,44,6,31,4,39
"Obrero (066)",222,64,1,107,44,2,,2,2
"Trabajador independiente (067)",1901,792,7,887,187,15,8,3,2
"Empleador o patrono (068)",35,9,,18,8,,,,
"Trabajador familiar no remunerado (069)",2220,849,10,1226,125,3,5,1,1
"Trabajador del hogar (070)",52,7,,30,14,1,,,
