"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANDIA (000)",26380,272,8539,9116,6361,2092
"Agric., ganadería, caza y silvicultura (001)",20418,237,6417,6640,5215,1909
"Pesca (002)",1,,,1,,
"Explotación de minas y canteras (003)",1593,2,794,522,249,26
"Industrias manufactureras (004)",180,1,56,59,45,19
"Suministro de electricidad, gas y agua (005)",7,,3,3,1,
"Construcción (006)",464,2,159,178,109,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1253,7,357,550,256,83
"Venta, mant.y rep. veh.autom.y motoc. (008)",47,,23,17,5,2
"Comercio al por mayor (009)",30,,8,19,3,
"Comercio al por menor (010)",1176,7,326,514,248,81
"Hoteles y restaurantes (011)",255,7,81,103,57,7
"Trans., almac. y comunicaciones (012)",255,2,108,115,28,2
"Intermediación financiera (013)",12,,7,3,2,
"Activid.inmobil., empres. y alquileres (014)",95,,32,44,19,
"Admin.pub. y defensa; p. segur.soc.afil (015)",335,,110,135,85,5
"Enseñanza (016)",892,,156,542,193,1
"Servicios sociales y de salud (017)",160,,60,79,20,1
"Otras activ. serv.comun.soc y personales (018)",93,1,42,26,20,4
"Hogares privados con servicio doméstico (019)",116,12,78,18,6,2
"Actividad economica no especificada (021)",251,1,79,98,56,17
"Hombres (022)",16910,149,5455,5781,4119,1406
"Agric., ganadería, caza y silvicultura (023)",12930,134,4016,4182,3309,1289
"Pesca (024)",1,,,1,,
"Explotación de minas y canteras (025)",1488,2,746,481,235,24
"Industrias manufactureras (026)",140,1,41,44,40,14
"Suministro de electricidad, gas y agua (027)",7,,3,3,1,
"Construcción (028)",453,2,157,172,106,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",445,4,101,203,100,37
"Venta, mant.y rep. veh.autom.y motoc. (030)",38,,17,16,3,2
"Comercio al por mayor (031)",16,,3,10,3,
"Comercio al por menor (032)",391,4,81,177,94,35
"Hoteles y restaurantes (033)",42,1,14,15,9,3
"Trans., almac. y comunicaciones (034)",228,1,93,106,26,2
"Intermediación financiera (035)",10,,5,3,2,
"Activid.inmobil., empres. y alquileres (036)",77,,27,33,17,
"Admin.pub. y defensa; p. segur.soc.afil (037)",282,,83,115,79,5
"Enseñanza (038)",558,,76,334,147,1
"Servicios sociales y de salud (039)",78,,27,37,13,1
"Otras activ. serv.comun.soc y personales (040)",50,1,11,18,16,4
