"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia UTCUBAMBA (000)",35569,29905,2345,1153,2166
"Empleado (001)",4725,1677,601,592,1855
"Obrero (002)",9447,7634,1012,497,304
"Trabajador independiente (003)",15623,15143,480,,
"Empleador o patrono (004)",1050,897,108,41,4
"Trabajador familiar no remunerado (005)",4195,4025,144,23,3
"Trabajador del hogar (006)",529,529,,,
"De 06 a 14 años (008)",1068,973,65,23,7
"Empleado (009)",56,45,10,1,
"Obrero (010)",220,173,30,10,7
"Trabajador independiente (011)",160,154,6,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",599,568,19,12,
"Trabajador del hogar (014)",32,32,,,
"De 15 a 29 años (016)",12913,11087,837,383,606
"Empleado (017)",1635,771,194,152,518
"Obrero (018)",4006,3305,400,214,87
"Trabajador independiente (019)",4202,4061,141,,
"Empleador o patrono (020)",206,177,17,12,
"Trabajador familiar no remunerado (021)",2561,2470,85,5,1
"Trabajador del hogar (022)",303,303,,,
"De 30 a 44 años (024)",11903,9470,901,480,1052
"Empleado (025)",2097,571,291,295,940
"Obrero (026)",2989,2349,361,169,110
"Trabajador independiente (027)",5674,5488,186,,
"Empleador o patrono (028)",376,325,37,13,1
"Trabajador familiar no remunerado (029)",641,611,26,3,1
"Trabajador del hogar (030)",126,126,,,
"De 45 a 64 años (032)",7699,6510,457,250,482
"Empleado (033)",893,268,101,139,385
"Obrero (034)",1841,1468,182,98,93
"Trabajador independiente (035)",4272,4155,117,,
"Empleador o patrono (036)",343,285,45,10,3
"Trabajador familiar no remunerado (037)",297,281,12,3,1
"Trabajador del hogar (038)",53,53,,,
"De 65 y más años (040)",1986,1865,85,17,19
"Empleado (041)",44,22,5,5,12
"Obrero (042)",391,339,39,6,7
"Trabajador independiente (043)",1315,1285,30,,
"Empleador o patrono (044)",124,109,9,6,
"Trabajador familiar no remunerado (045)",97,95,2,,
"Trabajador del hogar (046)",15,15,,,
,,,,,
"URBANA (048)",16453,12499,1268,816,1870
"Empleado (049)",4152,1467,512,556,1617
"Obrero (050)",3328,2488,366,223,251
"Trabajador independiente (051)",6885,6580,305,,
"Empleador o patrono (052)",476,413,37,25,1
"Trabajador familiar no remunerado (053)",1153,1092,48,12,1
