"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAMBAYEQUE (000)",83738,1727,29337,27312,20420,4942
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",137,,6,47,78,6
"Profes., científicos e intelectuales (002)",4675,,1160,1909,1537,69
"Técnicos de nivel medio y trab.asimilados (003)",2656,8,923,1002,641,82
"Jefes y empleados de oficina (004)",2019,,794,712,506,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",7961,146,2301,2899,2189,426
"Agricult.trabaj. calif. agrop. y pesqueros (006)",10128,48,1652,2785,3804,1839
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",6254,77,2668,2082,1199,228
"Obreros construc., conf., papel, fab., instr. (008)",7115,22,2661,2582,1679,171
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",34984,1215,13791,11048,7225,1705
"Otra (010)",526,,60,299,165,2
"Ocupación no especificada (011)",1998,14,685,716,463,120
"Desocupado (012)",5285,197,2636,1231,934,287
"Hombres (013)",63744,1246,21962,20224,15994,4318
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",97,,3,32,57,5
"Profes., científicos e intelectuales (015)",2209,,455,816,877,61
"Técnicos de nivel medio y trab.asimilados (016)",1676,7,542,629,431,67
"Jefes y empleados de oficina (017)",930,,289,298,337,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",3382,82,1057,1171,858,214
"Agricult.trabaj. calif. agrop. y pesqueros (019)",9558,40,1554,2608,3606,1750
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",4793,71,2035,1533,951,203
"Obreros construc., conf., papel, fab., instr. (021)",6981,20,2600,2539,1653,169
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",28477,880,11159,8953,5984,1501
"Otra (023)",508,,52,292,162,2
"Ocupación no especificada (024)",1062,7,377,371,239,68
"Desocupado (025)",4071,139,1839,982,839,272
"Mujeres (026)",19994,481,7375,7088,4426,624
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",40,,3,15,21,1
"Profes., científicos e intelectuales (028)",2466,,705,1093,660,8
"Técnicos de nivel medio y trab.asimilados (029)",980,1,381,373,210,15
"Jefes y empleados de oficina (030)",1089,,505,414,169,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",4579,64,1244,1728,1331,212
"Agricult.trabaj. calif. agrop. y pesqueros (032)",570,8,98,177,198,89
