"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ICA (000)",286095,53431,91110,66293,51270,23991
"Sin nivel (001)",5715,531,495,666,1487,2536
"Educación inicial (002)",3335,3198,99,38,,
"Primaria (003)",70749,37015,4159,5512,11550,12513
"Secundaria (004)",114151,12687,48945,28086,18793,5640
"Superior no univ. incompleta (005)",16320,,10318,4178,1597,227
"Superior no univ. completa (006)",22511,,8373,9459,3947,732
"Superior univ. incompleta (007)",19012,,12023,3899,2792,298
"Superior univ. completa (008)",34302,,6698,14455,11104,2045
"PEA (010)",135303,1209,47528,49388,32394,4784
"Sin nivel (011)",1304,9,148,293,560,294
"Educación inicial (012)",65,13,30,22,,
"Primaria (013)",14805,550,2290,3585,5956,2424
"Secundaria (014)",58687,637,24750,20269,11805,1226
"Superior no univ. incompleta (015)",9338,,5031,3097,1139,71
"Superior no univ. completa (016)",15934,,5990,7261,2557,126
"Superior univ. incompleta (017)",9399,,4315,2919,2081,84
"Superior univ. completa (018)",25771,,4974,11942,8296,559
"Ocupada (020)",129962,1159,44750,47885,31554,4614
"Sin nivel (021)",1236,8,128,281,541,278
"Educación inicial (022)",60,11,28,21,,
"Primaria (023)",14290,533,2161,3481,5779,2336
"Secundaria (024)",56409,607,23435,19699,11481,1187
"Superior no univ. incompleta (025)",8951,,4770,2994,1118,69
"Superior no univ. completa (026)",15242,,5620,7000,2500,122
"Superior univ. incompleta (027)",8960,,4025,2825,2029,81
