"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ILO (000)",1968,344,1624
"De 14 a 29 años (001)",949,273,676
"De 30 a 44 años (002)",640,59,581
"De 45 a 64 años (003)",343,12,331
"De 65 y más años (004)",36,,36
"Hombres (005)",1300,192,1108
"De 14 a 29 años (006)",575,161,414
"De 30 a 44 años (007)",428,24,404
"De 45 a 64 años (008)",264,7,257
"De 65 y más años (009)",33,,33
"Mujeres (010)",668,152,516
"De 14 a 29 años (011)",374,112,262
"De 30 a 44 años (012)",212,35,177
"De 45 a 64 años (013)",79,5,74
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",1965,343,1622
"De 14 a 29 años (016)",947,272,675
"De 30 a 44 años (017)",640,59,581
"De 45 a 64 años (018)",342,12,330
"De 65 y más años (019)",36,,36
"Hombres (020)",1298,191,1107
"De 14 a 29 años (021)",574,160,414
"De 30 a 44 años (022)",428,24,404
"De 45 a 64 años (023)",263,7,256
"De 65 y más años (024)",33,,33
"Mujeres (025)",667,152,515
"De 14 a 29 años (026)",373,112,261
"De 30 a 44 años (027)",212,35,177
"De 45 a 64 años (028)",79,5,74
"De 65 y más años (029)",3,,3
,,,
"AREA RURAL (030)",3,1,2
"De 14 a 29 años (031)",2,1,1
"De 45 a 64 años (033)",1,,1
"Hombres (035)",2,1,1
"De 14 a 29 años (036)",1,1,
"De 45 a 64 años (038)",1,,1
"Mujeres (040)",1,,1
"De 14 a 29 años (041)",1,,1
