"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BONGARA (000)",25783,5065,2090,858,17828
"Quechua (001)",26,2,3,3,19
"Aymara (002)",6,,1,,5
"Asháninka (003)",5,2,,1,3
"Otra lengua nativa (004)",16,1,2,1,12
"Castellano (005)",25644,5048,2081,846,17725
"Idioma Extranjero (006)",13,1,1,6,5
"Es Sordomudo/a (007)",73,11,2,1,59
"Hombres (009)",13305,2379,1075,603,9287
"Quechua (010)",17,,3,2,12
"Aymara (011)",2,,1,,1
"Asháninka (012)",1,,,,1
"Otra lengua nativa (013)",13,1,,1,11
"Castellano (014)",13226,2371,1069,596,9229
"Idioma Extranjero (015)",7,1,1,3,2
"Es Sordomudo/a (016)",39,6,1,1,31
"Mujeres (018)",12478,2686,1015,255,8541
"Quechua (019)",9,2,,1,7
"Aymara (020)",4,,,,4
"Asháninka (021)",4,2,,1,2
"Otra lengua nativa (022)",3,,2,,1
"Castellano (023)",12418,2677,1012,250,8496
"Idioma Extranjero (024)",6,,,3,3
"Es Sordomudo/a (025)",34,5,1,,28
,,,,,
"URBANA (027)",15555,2766,1773,721,10350
"Quechua (028)",15,1,3,3,9
"Aymara (029)",6,,1,,5
"Asháninka (030)",3,1,,1,2
"Otra lengua nativa (031)",12,1,2,1,8
"Castellano (032)",15473,2756,1766,710,10294
"Idioma Extranjero (033)",12,1,,6,5
"Es Sordomudo/a (034)",34,6,1,,27
"Hombres (036)",7948,1266,908,503,5307
"Quechua (037)",10,,3,2,5
"Aymara (038)",2,,1,,1
"Otra lengua nativa (040)",10,1,,1,8
"Castellano (041)",7901,1260,903,497,5277
"Idioma Extranjero (042)",6,1,,3,2
"Es Sordomudo/a (043)",19,4,1,,14
"Mujeres (045)",7607,1500,865,218,5043
"Quechua (046)",5,1,,1,4
"Aymara (047)",4,,,,4
"Asháninka (048)",3,1,,1,2
"Otra lengua nativa (049)",2,,2,,
"Castellano (050)",7572,1496,863,213,5017
"Idioma Extranjero (051)",6,,,3,3
"Es Sordomudo/a (052)",15,2,,,13
,,,,,
"RURAL (054)",10228,2299,317,137,7478
"Quechua (055)",11,1,,,10
"Asháninka (057)",2,1,,,1
"Otra lengua nativa (058)",4,,,,4
"Castellano (059)",10171,2292,315,136,7431
"Idioma Extranjero (060)",1,,1,,
"Es Sordomudo/a (061)",39,5,1,1,32
"Hombres (063)",5357,1113,167,100,3980
"Quechua (064)",7,,,,7
"Asháninka (066)",1,,,,1
"Otra lengua nativa (067)",3,,,,3
"Castellano (068)",5325,1111,166,99,3952
"Idioma Extranjero (069)",1,,1,,
"Es Sordomudo/a (070)",20,2,,1,17
"Mujeres (072)",4871,1186,150,37,3498
"Quechua (073)",4,1,,,3
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",4846,1181,149,37,3479
"Es Sordomudo/a (079)",19,3,1,,15
