"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia BONGARA (000)",247,60,187
"Sin nivel (001)",7,1,6
"Educación inicial (002)",1,,1
"Primaria (003)",103,21,82
"Secundaria (004)",88,27,61
"Superior no univ. incompleta (005)",9,3,6
"Superior no univ. completa (006)",21,4,17
"Superior univ. incompleta (007)",6,2,4
"Superior univ. completa (008)",12,2,10
"De 14 a 29 años (010)",138,44,94
"Sin nivel (011)",2,,2
"Primaria (013)",45,14,31
"Secundaria (014)",65,21,44
"Superior no univ. incompleta (015)",4,2,2
"Superior no univ. completa (016)",13,4,9
"Superior univ. incompleta (017)",4,2,2
"Superior univ. completa (018)",5,1,4
"De 30 a 44 años (020)",72,13,59
"Sin nivel (021)",4,1,3
"Educación inicial (022)",1,,1
"Primaria (023)",30,5,25
"Secundaria (024)",18,5,13
"Superior no univ. incompleta (025)",4,1,3
"Superior no univ. completa (026)",8,,8
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",6,1,5
"De 45 a 64 años (030)",30,3,27
"Sin nivel (031)",1,,1
"Primaria (033)",21,2,19
"Secundaria (034)",5,1,4
"Superior no univ. incompleta (035)",1,,1
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",7,,7
"Primaria (043)",7,,7
,,,
"AREA URBANA (050)",193,45,148
"Sin nivel (051)",6,1,5
"Educación inicial (052)",1,,1
"Primaria (053)",69,10,59
"Secundaria (054)",72,23,49
"Superior no univ. incompleta (055)",9,3,6
"Superior no univ. completa (056)",19,4,15
"Superior univ. incompleta (057)",6,2,4
"Superior univ. completa (058)",11,2,9
"De 14 a 29 años (060)",105,34,71
"Sin nivel (061)",2,,2
"Primaria (063)",25,7,18
"Secundaria (064)",52,18,34
"Superior no univ. incompleta (065)",4,2,2
"Superior no univ. completa (066)",13,4,9
"Superior univ. incompleta (067)",4,2,2
"Superior univ. completa (068)",5,1,4
"De 30 a 44 años (070)",54,9,45
"Sin nivel (071)",3,1,2
"Educación inicial (072)",1,,1
"Primaria (073)",18,2,16
"Secundaria (074)",16,4,12
"Superior no univ. incompleta (075)",4,1,3
"Superior no univ. completa (076)",6,,6
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",5,1,4
"De 45 a 64 años (080)",27,2,25
"Sin nivel (081)",1,,1
"Primaria (083)",19,1,18
"Secundaria (084)",4,1,3
"Superior no univ. incompleta (085)",1,,1
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",7,,7
"Primaria (093)",7,,7
,,,
"AREA RURAL (100)",54,15,39
"Sin nivel (101)",1,,1
"Primaria (103)",34,11,23
"Secundaria (104)",16,4,12
"Superior no univ. completa (106)",2,,2
"Superior univ. completa (108)",1,,1
"De 14 a 29 años (110)",33,10,23
"Primaria (113)",20,7,13
"Secundaria (114)",13,3,10
"De 30 a 44 años (120)",18,4,14
"Sin nivel (121)",1,,1
"Primaria (123)",12,3,9
"Secundaria (124)",2,1,1
"Superior no univ. completa (126)",2,,2
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",3,1,2
"Primaria (133)",2,1,1
"Secundaria (134)",1,,1
