"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CUSCO (000)",349453,24716,8937,77650,117087,23205,24516,30322,43020
"Quechua (001)",63675,5740,379,16565,22631,3676,4260,3792,6632
"Aymara (002)",781,30,7,136,295,60,78,63,112
"Ashaninca (003)",94,9,2,13,36,13,3,15,3
"Otra lengua nativa (004)",306,3,,33,127,32,22,40,49
"Castellano (005)",282610,18831,8536,60791,93796,19361,19968,26222,35105
"Idioma extranjero (006)",1521,8,4,13,75,41,145,161,1074
"Es sordomudo/a (007)",466,95,9,99,127,22,40,29,45
"Hombres (009)",168149,9446,4477,34861,59552,11123,10613,16761,21316
"Quechua (010)",30325,1133,165,6678,12293,1986,1998,2323,3749
"Aymara (011)",596,10,3,89,236,49,70,51,88
"Ashaninca (012)",59,6,2,6,23,10,1,10,1
"Otra lengua nativa (013)",154,2,,9,57,17,16,28,25
"Castellano (014)",136093,8251,4301,28046,46837,9025,8458,14268,16907
"Idioma extranjero (015)",730,4,,9,42,28,54,68,525
"Es sordomudo/a (016)",192,40,6,24,64,8,16,13,21
"Mujeres (018)",181304,15270,4460,42789,57535,12082,13903,13561,21704
"Quechua (019)",33350,4607,214,9887,10338,1690,2262,1469,2883
"Aymara (020)",185,20,4,47,59,11,8,12,24
"Ashaninca (021)",35,3,,7,13,3,2,5,2
"Otra lengua nativa (022)",152,1,,24,70,15,6,12,24
"Castellano (023)",146517,10580,4235,32745,46959,10336,11510,11954,18198
"Idioma extranjero (024)",791,4,4,4,33,13,91,93,549
"Es sordomudo/a (025)",274,55,3,75,63,14,24,16,24
,,,,,,,,,
"URBANA (027)",334457,22194,8434,70982,112728,22829,24294,30130,42866
"Quechua (028)",54633,3927,171,12348,20291,3520,4146,3702,6528
"Aymara (029)",774,29,6,132,294,60,78,63,112
"Ashaninca (030)",87,7,1,13,33,12,3,15,3
"Otra lengua nativa (031)",305,3,,33,126,32,22,40,49
"Castellano (032)",276682,18129,8243,58348,91785,19142,19860,26120,35055
"Idioma extranjero (033)",1521,8,4,13,75,41,145,161,1074
"Es sordomudo/a (034)",455,91,9,95,124,22,40,29,45
"Hombres (036)",160606,8631,4232,31552,56906,10912,10498,16648,21227
"Quechua (037)",25920,655,60,4664,10758,1894,1942,2261,3686
"Aymara (038)",595,10,3,89,235,49,70,51,88
"Ashaninca (039)",53,5,1,6,20,9,1,10,1
"Otra lengua nativa (040)",153,2,,9,56,17,16,28,25
"Castellano (041)",132971,7918,4162,26753,45734,8907,8399,14217,16881
"Idioma extranjero (042)",730,4,,9,42,28,54,68,525
"Es sordomudo/a (043)",184,37,6,22,61,8,16,13,21
"Mujeres (045)",173851,13563,4202,39430,55822,11917,13796,13482,21639
"Quechua (046)",28713,3272,111,7684,9533,1626,2204,1441,2842
"Aymara (047)",179,19,3,43,59,11,8,12,24
"Ashaninca (048)",34,2,,7,13,3,2,5,2
"Otra lengua nativa (049)",152,1,,24,70,15,6,12,24
"Castellano (050)",143711,10211,4081,31595,46051,10235,11461,11903,18174
"Idioma extranjero (051)",791,4,4,4,33,13,91,93,549
"Es sordomudo/a (052)",271,54,3,73,63,14,24,16,24
,,,,,,,,,
"RURAL (054)",14996,2522,503,6668,4359,376,222,192,154
"Quechua (055)",9042,1813,208,4217,2340,156,114,90,104
"Aymara (056)",7,1,1,4,1,,,,
"Ashaninca (057)",7,2,1,,3,1,,,
"Otra lengua nativa (058)",1,,,,1,,,,
"Castellano (059)",5928,702,293,2443,2011,219,108,102,50
"Es sordomudo/a (061)",11,4,,4,3,,,,
"Hombres (063)",7543,815,245,3309,2646,211,115,113,89
"Quechua (064)",4405,478,105,2014,1535,92,56,62,63
"Aymara (065)",1,,,,1,,,,
"Ashaninca (066)",6,1,1,,3,1,,,
"Otra lengua nativa (067)",1,,,,1,,,,
"Castellano (068)",3122,333,139,1293,1103,118,59,51,26
"Es sordomudo/a (070)",8,3,,2,3,,,,
"Mujeres (072)",7453,1707,258,3359,1713,165,107,79,65
"Quechua (073)",4637,1335,103,2203,805,64,58,28,41
"Aymara (074)",6,1,1,4,,,,,
"Ashaninca (075)",1,1,,,,,,,
"Castellano (077)",2806,369,154,1150,908,101,49,51,24
"Es sordomudo/a (079)",3,1,,2,,,,,
