"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9796,297,3250,3242,2304,703
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",36,,7,16,13,
"Profes., científicos e intelectuales (002)",553,,89,309,154,1
"Técnicos de nivel medio y trab.asimilados (003)",162,,55,70,35,2
"Jefes y empleados de oficina (004)",106,,39,37,30,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",555,10,149,232,142,22
"Agricult.trabaj. calif. agrop. y pesqueros (006)",3927,28,966,1346,1128,459
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",296,6,108,113,62,7
"Obreros construc., conf., papel, fab., instr. (008)",342,1,113,161,56,11
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",3424,240,1587,815,607,175
"Otra (010)",34,,,25,9,
"Ocupación no especificada (011)",153,,42,62,33,16
"Desocupado (012)",208,12,95,56,35,10
"Hombres (013)",7974,219,2663,2548,1906,638
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",29,,4,14,11,
"Profes., científicos e intelectuales (015)",316,,50,159,106,1
"Técnicos de nivel medio y trab.asimilados (016)",97,,32,36,27,2
"Jefes y empleados de oficina (017)",58,,15,20,23,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",227,8,59,99,56,5
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3703,25,913,1275,1051,439
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",263,6,101,100,51,5
"Obreros construc., conf., papel, fab., instr. (021)",339,1,113,159,55,11
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",2714,174,1307,597,478,158
"Otra (023)",34,,,25,9,
"Ocupación no especificada (024)",47,,10,18,10,9
"Desocupado (025)",147,5,59,46,29,8
"Mujeres (026)",1822,78,587,694,398,65
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,,3,2,2,
"Profes., científicos e intelectuales (028)",237,,39,150,48,
"Técnicos de nivel medio y trab.asimilados (029)",65,,23,34,8,
"Jefes y empleados de oficina (030)",48,,24,17,7,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",328,2,90,133,86,17
"Agricult.trabaj. calif. agrop. y pesqueros (032)",224,3,53,71,77,20
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",33,,7,13,11,2
"Obreros construc., conf., papel, fab., instr. (034)",3,,,2,1,
