"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YAUYOS (000)",7147,66,2469,2591,874,279,167,47,6,,648
"Catolica (001)",6334,58,2171,2280,791,254,148,42,5,,585
"Cristiana / Evangelica (002)",672,6,249,255,69,23,14,4,1,,51
"Otra (003)",82,1,31,29,10,1,2,1,,,7
"Ninguna (004)",59,1,18,27,4,1,3,,,,5
,,,,,,,,,,,
"URBANA (006)",4490,34,1436,1681,601,200,107,30,6,,395
"Catolica (007)",3947,28,1251,1469,544,179,93,26,5,,352
"Cristiana / Evangelica (008)",454,4,152,182,46,20,10,3,1,,36
"Otra (009)",61,1,26,18,8,1,1,1,,,5
"Ninguna (010)",28,1,7,12,3,,3,,,,2
,,,,,,,,,,,
"RURAL (012)",2657,32,1033,910,273,79,60,17,,,253
"Catolica (013)",2387,30,920,811,247,75,55,16,,,233
"Cristiana / Evangelica (014)",218,2,97,73,23,3,4,1,,,15
"Otra (015)",21,,5,11,2,,1,,,,2
"Ninguna (016)",31,,11,15,1,1,,,,,3
