"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia BELLAVISTA (000)",23296,3533,6907,5971,6885
"Asiste actualmente (001)",12944,1427,6296,4239,982
"No asiste (002)",10352,2106,611,1732,5903
"Hombres (004)",12156,1770,3536,3214,3636
"Asiste actualmente (005)",6793,710,3209,2305,569
"No asiste (006)",5363,1060,327,909,3067
"Mujeres (008)",11140,1763,3371,2757,3249
"Asiste actualmente (009)",6151,717,3087,1934,413
"No asiste (010)",4989,1046,284,823,2836
,,,,,
"URBANA (012)",12400,1742,3507,3421,3730
"Asiste actualmente (013)",7758,812,3343,2839,764
"No asiste (014)",4642,930,164,582,2966
"Hombres (016)",6466,878,1813,1842,1933
"Asiste actualmente (017)",4108,406,1730,1544,428
"No asiste (018)",2358,472,83,298,1505
"Mujeres (020)",5934,864,1694,1579,1797
"Asiste actualmente (021)",3650,406,1613,1295,336
"No asiste (022)",2284,458,81,284,1461
,,,,,
"RURAL (024)",10896,1791,3400,2550,3155
"Asiste actualmente (025)",5186,615,2953,1400,218
"No asiste (026)",5710,1176,447,1150,2937
"Hombres (028)",5690,892,1723,1372,1703
"Asiste actualmente (029)",2685,304,1479,761,141
"No asiste (030)",3005,588,244,611,1562
"Mujeres (032)",5206,899,1677,1178,1452
"Asiste actualmente (033)",2501,311,1474,639,77
"No asiste (034)",2705,588,203,539,1375
