"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TAHUAMANU (000)",141,41,100
"Primaria (003)",13,4,9
"Secundaria (004)",89,26,63
"Superior no univ. incompleta (005)",16,7,9
"Superior no univ. completa (006)",7,2,5
"Superior univ. incompleta (007)",10,,10
"Superior univ. completa (008)",6,2,4
"Hombres (010)",99,26,73
"Primaria (013)",9,2,7
"Secundaria (014)",71,19,52
"Superior no univ. incompleta (015)",9,4,5
"Superior no univ. completa (016)",2,,2
"Superior univ. incompleta (017)",4,,4
"Superior univ. completa (018)",4,1,3
"Mujeres (020)",42,15,27
"Primaria (023)",4,2,2
"Secundaria (024)",18,7,11
"Superior no univ. incompleta (025)",7,3,4
"Superior no univ. completa (026)",5,2,3
"Superior univ. incompleta (027)",6,,6
"Superior univ. completa (028)",2,1,1
,,,
"AREA URBANA (030)",128,39,89
"Primaria (033)",12,4,8
"Secundaria (034)",82,26,56
"Superior no univ. incompleta (035)",12,6,6
"Superior no univ. completa (036)",6,1,5
"Superior univ. incompleta (037)",10,,10
"Superior univ. completa (038)",6,2,4
"Hombres (040)",89,25,64
"Primaria (043)",8,2,6
"Secundaria (044)",65,19,46
"Superior no univ. incompleta (045)",6,3,3
"Superior no univ. completa (046)",2,,2
"Superior univ. incompleta (047)",4,,4
"Superior univ. completa (048)",4,1,3
"Mujeres (050)",39,14,25
"Primaria (053)",4,2,2
"Secundaria (054)",17,7,10
"Superior no univ. incompleta (055)",6,3,3
"Superior no univ. completa (056)",4,1,3
"Superior univ. incompleta (057)",6,,6
"Superior univ. completa (058)",2,1,1
,,,
"AREA RURAL (060)",13,2,11
"Primaria (063)",1,,1
"Secundaria (064)",7,,7
"Superior no univ. incompleta (065)",4,1,3
"Superior no univ. completa (066)",1,1,
"Hombres (070)",10,1,9
"Primaria (073)",1,,1
"Secundaria (074)",6,,6
"Superior no univ. incompleta (075)",3,1,2
"Mujeres (080)",3,1,2
"Secundaria (084)",1,,1
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",1,1,
