"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CASTILLA (000)",38425,664,10847,9150,8370,6262,3132
"Hombres (001)",20269,332,5509,4851,4537,3460,1580
"Mujeres (002)",18156,332,5338,4299,3833,2802,1552
"Viviendas particulares (003)",37147,662,10827,8730,7734,6077,3117
"Hombres (004)",19127,331,5502,4469,3961,3296,1568
"Mujeres (005)",18020,331,5325,4261,3773,2781,1549
"Viviendas colectivas (006)",1008,,11,321,553,117,6
"Hombres (007)",927,,4,304,505,109,5
"Mujeres (008)",81,,7,17,48,8,1
"Otro tipo (009)",270,2,9,99,83,68,9
"Hombres (010)",215,1,3,78,71,55,7
"Mujeres (011)",55,1,6,21,12,13,2
,,,,,,,
"URBANA (012)",21913,399,6337,5335,4842,3427,1573
"Hombres (013)",11299,197,3201,2746,2504,1872,779
"Mujeres (014)",10614,202,3136,2589,2338,1555,794
"Viviendas particulares (015)",21329,397,6317,5136,4603,3316,1560
"Hombres (016)",10827,196,3194,2579,2308,1781,769
"Mujeres (017)",10502,201,3123,2557,2295,1535,791
"Viviendas colectivas (018)",316,,11,100,158,43,4
"Hombres (019)",259,,4,89,127,36,3
"Mujeres (020)",57,,7,11,31,7,1
"Otro tipo (021)",268,2,9,99,81,68,9
"Hombres (022)",213,1,3,78,69,55,7
"Mujeres (023)",55,1,6,21,12,13,2
,,,,,,,
"RURAL (024)",16512,265,4510,3815,3528,2835,1559
"Hombres (025)",8970,135,2308,2105,2033,1588,801
"Mujeres (026)",7542,130,2202,1710,1495,1247,758
"Viviendas particulares (027)",15818,265,4510,3594,3131,2761,1557
"Hombres (028)",8300,135,2308,1890,1653,1515,799
"Mujeres (029)",7518,130,2202,1704,1478,1246,758
"Viviendas colectivas (030)",692,,,221,395,74,2
"Hombres (031)",668,,,215,378,73,2
"Mujeres (032)",24,,,6,17,1,
"Otro tipo (033)",2,,,,2,,
"Hombres (034)",2,,,,2,,
