"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia UCAYALI (000)",20353,16150,2427,891,885
"Hombres (001)",14353,11254,1831,608,660
"Mujeres (002)",6000,4896,596,283,225
"De 06 a 14 años (003)",701,639,38,24,
"Hombres (004)",471,429,27,15,
"Mujeres (005)",230,210,11,9,
"De 15 a 29 años (006)",7262,5757,954,281,270
"Hombres (007)",5044,3925,735,195,189
"Mujeres (008)",2218,1832,219,86,81
"De 30 a 44 años (009)",6813,5122,911,372,408
"Hombres (010)",4756,3531,672,245,308
"Mujeres (011)",2057,1591,239,127,100
"De 45 a 64 años (012)",4528,3673,459,202,194
"Hombres (013)",3263,2619,345,145,154
"Mujeres (014)",1265,1054,114,57,40
"De 65 y más años (015)",1049,959,65,12,13
"Hombres (016)",819,750,52,8,9
"Mujeres (017)",230,209,13,4,4
,,,,,
"URBANA (018)",11429,8267,1583,743,836
"Hombres (019)",7780,5476,1177,506,621
"Mujeres (020)",3649,2791,406,237,215
"De 06 a 14 años (021)",317,290,21,6,
"Hombres (022)",196,175,17,4,
"Mujeres (023)",121,115,4,2,
"De 15 a 29 años (024)",3923,2841,616,213,253
"Hombres (025)",2639,1842,470,151,176
"Mujeres (026)",1284,999,146,62,77
"De 30 a 44 años (027)",3949,2658,579,325,387
"Hombres (028)",2649,1734,415,208,292
"Mujeres (029)",1300,924,164,117,95
"De 45 a 64 años (030)",2645,1944,325,192,184
"Hombres (031)",1839,1315,243,137,144
"Mujeres (032)",806,629,82,55,40
"De 65 y más años (033)",595,534,42,7,12
"Hombres (034)",457,410,32,6,9
"Mujeres (035)",138,124,10,1,3
,,,,,
"RURAL (036)",8924,7883,844,148,49
"Hombres (037)",6573,5778,654,102,39
"Mujeres (038)",2351,2105,190,46,10
"De 06 a 14 años (039)",384,349,17,18,
"Hombres (040)",275,254,10,11,
"Mujeres (041)",109,95,7,7,
"De 15 a 29 años (042)",3339,2916,338,68,17
"Hombres (043)",2405,2083,265,44,13
"Mujeres (044)",934,833,73,24,4
"De 30 a 44 años (045)",2864,2464,332,47,21
"Hombres (046)",2107,1797,257,37,16
"Mujeres (047)",757,667,75,10,5
"De 45 a 64 años (048)",1883,1729,134,10,10
"Hombres (049)",1424,1304,102,8,10
"Mujeres (050)",459,425,32,2,
"De 65 y más años (051)",454,425,23,5,1
"Hombres (052)",362,340,20,2,
"Mujeres (053)",92,85,3,3,1
