"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHANCHAMAYO (000)",158346,21810,4282,60434,52086,5418,4930,3550,5836
"Quechua (001)",14723,4340,43,6715,2790,201,264,116,254
"Aymara (002)",131,31,,54,28,8,4,2,4
"Ashaninca (003)",5965,1511,126,3092,1088,57,31,21,39
"Otra lengua nativa (004)",729,147,14,283,227,18,9,12,19
"Castellano (005)",136580,15664,4094,50233,47932,5132,4618,3393,5514
"Idioma extranjero (006)",17,,,4,,1,3,4,5
"Es sordomudo/a (007)",201,117,5,53,21,1,1,2,1
"Hombres (009)",83809,9335,2106,31663,29790,2986,2565,2111,3253
"Quechua (010)",7805,1283,18,3954,1954,148,178,97,173
"Aymara (011)",70,8,,30,18,6,3,2,3
"Ashaninca (012)",3105,677,63,1612,655,40,19,13,26
"Otra lengua nativa (013)",392,63,7,157,129,13,5,8,10
"Castellano (014)",72298,7228,2016,25875,27019,2778,2358,1988,3036
"Idioma extranjero (015)",12,,,3,,,2,3,4
"Es sordomudo/a (016)",127,76,2,32,15,1,,,1
"Mujeres (018)",74537,12475,2176,28771,22296,2432,2365,1439,2583
"Quechua (019)",6918,3057,25,2761,836,53,86,19,81
"Aymara (020)",61,23,,24,10,2,1,,1
"Ashaninca (021)",2860,834,63,1480,433,17,12,8,13
"Otra lengua nativa (022)",337,84,7,126,98,5,4,4,9
"Castellano (023)",64282,8436,2078,24358,20913,2354,2260,1405,2478
"Idioma extranjero (024)",5,,,1,,1,1,1,1
"Es sordomudo/a (025)",74,41,3,21,6,,1,2,
,,,,,,,,,
"URBANA (027)",90724,9288,2839,29478,33069,4192,3933,2955,4970
"Quechua (028)",6201,1575,25,2680,1333,132,177,86,193
"Aymara (029)",64,6,,24,18,7,3,2,4
"Ashaninca (030)",449,49,6,174,172,16,12,6,14
"Otra lengua nativa (031)",165,17,7,55,49,9,8,8,12
"Castellano (032)",83737,7594,2799,26513,31487,4026,3729,2847,4742
"Idioma extranjero (033)",16,,,4,,1,3,4,4
"Es sordomudo/a (034)",92,47,2,28,10,1,1,2,1
"Hombres (036)",46106,3865,1416,14466,17813,2242,1917,1722,2665
"Quechua (037)",3029,348,9,1406,870,97,101,72,126
"Aymara (038)",36,1,,12,11,5,2,2,3
"Ashaninca (039)",243,16,2,82,113,13,7,3,7
"Otra lengua nativa (040)",75,1,3,27,27,4,4,5,4
"Castellano (041)",42653,3469,1401,12919,16784,2122,1801,1637,2520
"Idioma extranjero (042)",12,,,3,,,2,3,4
"Es sordomudo/a (043)",58,30,1,17,8,1,,,1
"Mujeres (045)",44618,5423,1423,15012,15256,1950,2016,1233,2305
"Quechua (046)",3172,1227,16,1274,463,35,76,14,67
"Aymara (047)",28,5,,12,7,2,1,,1
"Ashaninca (048)",206,33,4,92,59,3,5,3,7
"Otra lengua nativa (049)",90,16,4,28,22,5,4,3,8
"Castellano (050)",41084,4125,1398,13594,14703,1904,1928,1210,2222
"Idioma extranjero (051)",4,,,1,,1,1,1,
"Es sordomudo/a (052)",34,17,1,11,2,,1,2,
,,,,,,,,,
"RURAL (054)",67622,12522,1443,30956,19017,1226,997,595,866
"Quechua (055)",8522,2765,18,4035,1457,69,87,30,61
"Aymara (056)",67,25,,30,10,1,1,,
"Ashaninca (057)",5516,1462,120,2918,916,41,19,15,25
"Otra lengua nativa (058)",564,130,7,228,178,9,1,4,7
"Castellano (059)",52843,8070,1295,23720,16445,1106,889,546,772
"Idioma extranjero (060)",1,,,,,,,,1
"Es sordomudo/a (061)",109,70,3,25,11,,,,
"Hombres (063)",37703,5470,690,17197,11977,744,648,389,588
"Quechua (064)",4776,935,9,2548,1084,51,77,25,47
"Aymara (065)",34,7,,18,7,1,1,,
"Ashaninca (066)",2862,661,61,1530,542,27,12,10,19
"Otra lengua nativa (067)",317,62,4,130,102,9,1,3,6
"Castellano (068)",29645,3759,615,12956,10235,656,557,351,516
"Es sordomudo/a (070)",69,46,1,15,7,,,,
"Mujeres (072)",29919,7052,753,13759,7040,482,349,206,278
"Quechua (073)",3746,1830,9,1487,373,18,10,5,14
"Aymara (074)",33,18,,12,3,,,,
"Ashaninca (075)",2654,801,59,1388,374,14,7,5,6
"Otra lengua nativa (076)",247,68,3,98,76,,,1,1
"Castellano (077)",23198,4311,680,10764,6210,450,332,195,256
"Idioma extranjero (078)",1,,,,,,,,1
"Es sordomudo/a (079)",40,24,2,10,4,,,,
