"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AMBO (000)",52113,2620,14787,9703,6997,6268,4645,3180,3913
"Quechua (001)",13141,539,3222,1875,1709,1732,1458,1169,1437
"Aymara (002)",30,4,7,4,1,4,5,1,4
"Ashaninca (003)",9,,4,2,,1,,1,1
"Otra lengua nativa (004)",5,,1,4,,,,,
"Castellano (005)",38840,2073,11531,7802,5276,4519,3177,2001,2461
"Idioma extranjero (006)",2,,,,,2,,,
"Es sordomudo/a (007)",86,4,22,16,11,10,5,8,10
"Hombres (009)",26087,1346,7505,4867,3379,3149,2316,1576,1949
"Quechua (010)",6244,279,1566,901,783,836,680,546,653
"Aymara (011)",17,1,6,1,,3,4,1,1
"Ashaninca (012)",3,,,2,,1,,,
"Otra lengua nativa (013)",2,,,2,,,,,
"Castellano (014)",19763,1064,5919,3954,2587,2301,1628,1023,1287
"Idioma extranjero (015)",1,,,,,1,,,
"Es sordomudo/a (016)",57,2,14,7,9,7,4,6,8
"Mujeres (018)",26026,1274,7282,4836,3618,3119,2329,1604,1964
"Quechua (019)",6897,260,1656,974,926,896,778,623,784
"Aymara (020)",13,3,1,3,1,1,1,,3
"Ashaninca (021)",6,,4,,,,,1,1
"Otra lengua nativa (022)",3,,1,2,,,,,
"Castellano (023)",19077,1009,5612,3848,2689,2218,1549,978,1174
"Idioma extranjero (024)",1,,,,,1,,,
"Es sordomudo/a (025)",29,2,8,9,2,3,1,2,2
,,,,,,,,,
"URBANA (027)",17464,756,4425,3494,2318,2255,1685,1146,1385
"Quechua (028)",1914,13,173,153,192,336,328,323,396
"Aymara (029)",9,,2,3,,1,1,1,1
"Ashaninca (030)",2,,1,1,,,,,
"Castellano (032)",15512,741,4242,3333,2122,1914,1355,820,985
"Idioma extranjero (033)",2,,,,,2,,,
"Es sordomudo/a (034)",25,2,7,4,4,2,1,2,3
"Hombres (036)",8586,381,2255,1714,1066,1108,832,566,664
"Quechua (037)",871,5,87,77,75,159,153,151,164
"Aymara (038)",4,,2,,,,1,1,
"Ashaninca (039)",1,,,1,,,,,
"Castellano (041)",7688,375,2160,1632,988,946,677,413,497
"Idioma extranjero (042)",1,,,,,1,,,
"Es sordomudo/a (043)",21,1,6,4,3,2,1,1,3
"Mujeres (045)",8878,375,2170,1780,1252,1147,853,580,721
"Quechua (046)",1043,8,86,76,117,177,175,172,232
"Aymara (047)",5,,,3,,1,,,1
"Ashaninca (048)",1,,1,,,,,,
"Castellano (050)",7824,366,2082,1701,1134,968,678,407,488
"Idioma extranjero (051)",1,,,,,1,,,
"Es sordomudo/a (052)",4,1,1,,1,,,1,
,,,,,,,,,
"RURAL (054)",34649,1864,10362,6209,4679,4013,2960,2034,2528
"Quechua (055)",11227,526,3049,1722,1517,1396,1130,846,1041
"Aymara (056)",21,4,5,1,1,3,4,,3
"Ashaninca (057)",7,,3,1,,1,,1,1
"Otra lengua nativa (058)",5,,1,4,,,,,
"Castellano (059)",23328,1332,7289,4469,3154,2605,1822,1181,1476
"Es sordomudo/a (061)",61,2,15,12,7,8,4,6,7
"Hombres (063)",17501,965,5250,3153,2313,2041,1484,1010,1285
"Quechua (064)",5373,274,1479,824,708,677,527,395,489
"Aymara (065)",13,1,4,1,,3,3,,1
"Ashaninca (066)",2,,,1,,1,,,
"Otra lengua nativa (067)",2,,,2,,,,,
"Castellano (068)",12075,689,3759,2322,1599,1355,951,610,790
"Es sordomudo/a (070)",36,1,8,3,6,5,3,5,5
"Mujeres (072)",17148,899,5112,3056,2366,1972,1476,1024,1243
"Quechua (073)",5854,252,1570,898,809,719,603,451,552
"Aymara (074)",8,3,1,,1,,1,,2
"Ashaninca (075)",5,,3,,,,,1,1
"Otra lengua nativa (076)",3,,1,2,,,,,
"Castellano (077)",11253,643,3530,2147,1555,1250,871,571,686
"Es sordomudo/a (079)",25,1,7,9,1,3,1,1,2
