"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANTA (000)",86848,18085,2509,37757,21687,1668,2344,1161,1637
"Quechua (001)",58333,14588,1185,28038,12397,645,783,304,393
"Aymara (002)",89,25,1,43,16,1,,1,2
"Ashaninca (003)",92,35,1,43,12,,1,,
"Otra lengua nativa (004)",40,4,2,16,11,2,4,,1
"Castellano (005)",28184,3361,1318,9589,9247,1020,1556,856,1237
"Idioma extranjero (006)",5,,,,2,,,,3
"Es sordomudo/a (007)",105,72,2,28,2,,,,1
"Hombres (009)",43028,6165,1257,19393,12663,836,1079,733,902
"Quechua (010)",28360,4475,573,14420,7627,363,439,213,250
"Aymara (011)",41,8,1,20,8,1,,1,2
"Ashaninca (012)",52,12,1,28,10,,1,,
"Otra lengua nativa (013)",17,2,,8,4,1,2,,
"Castellano (014)",14513,1639,682,4905,5011,471,637,519,649
"Idioma extranjero (015)",3,,,,2,,,,1
"Es sordomudo/a (016)",42,29,,12,1,,,,
"Mujeres (018)",43820,11920,1252,18364,9024,832,1265,428,735
"Quechua (019)",29973,10113,612,13618,4770,282,344,91,143
"Aymara (020)",48,17,,23,8,,,,
"Ashaninca (021)",40,23,,15,2,,,,
"Otra lengua nativa (022)",23,2,2,8,7,1,2,,1
"Castellano (023)",13671,1722,636,4684,4236,549,919,337,588
"Idioma extranjero (024)",2,,,,,,,,2
"Es sordomudo/a (025)",63,43,2,16,1,,,,1
,,,,,,,,,
"URBANA (027)",40178,5769,1282,14863,12357,1357,2031,1038,1481
"Quechua (028)",18209,3499,325,7760,5023,437,604,237,324
"Aymara (029)",40,12,,14,10,1,,1,2
"Ashaninca (030)",21,4,1,8,8,,,,
"Otra lengua nativa (031)",37,3,2,15,10,2,4,,1
"Castellano (032)",21816,2224,952,7046,7304,917,1423,800,1150
"Idioma extranjero (033)",5,,,,2,,,,3
"Es sordomudo/a (034)",50,27,2,20,,,,,1
"Hombres (036)",19524,1944,644,7210,6721,641,910,641,813
"Quechua (037)",8447,849,152,3656,2871,231,322,161,205
"Aymara (038)",18,3,,7,4,1,,1,2
"Ashaninca (039)",13,2,1,4,6,,,,
"Otra lengua nativa (040)",14,1,,7,3,1,2,,
"Castellano (041)",11009,1078,491,3527,3835,408,586,479,605
"Idioma extranjero (042)",3,,,,2,,,,1
"Es sordomudo/a (043)",20,11,,9,,,,,
"Mujeres (045)",20654,3825,638,7653,5636,716,1121,397,668
"Quechua (046)",9762,2650,173,4104,2152,206,282,76,119
"Aymara (047)",22,9,,7,6,,,,
"Ashaninca (048)",8,2,,4,2,,,,
"Otra lengua nativa (049)",23,2,2,8,7,1,2,,1
"Castellano (050)",10807,1146,461,3519,3469,509,837,321,545
"Idioma extranjero (051)",2,,,,,,,,2
"Es sordomudo/a (052)",30,16,2,11,,,,,1
,,,,,,,,,
"RURAL (054)",46670,12316,1227,22894,9330,311,313,123,156
"Quechua (055)",40124,11089,860,20278,7374,208,179,67,69
"Aymara (056)",49,13,1,29,6,,,,
"Ashaninca (057)",71,31,,35,4,,1,,
"Otra lengua nativa (058)",3,1,,1,1,,,,
"Castellano (059)",6368,1137,366,2543,1943,103,133,56,87
"Es sordomudo/a (061)",55,45,,8,2,,,,
"Hombres (063)",23504,4221,613,12183,5942,195,169,92,89
"Quechua (064)",19913,3626,421,10764,4756,132,117,52,45
"Aymara (065)",23,5,1,13,4,,,,
"Ashaninca (066)",39,10,,24,4,,1,,
"Otra lengua nativa (067)",3,1,,1,1,,,,
"Castellano (068)",3504,561,191,1378,1176,63,51,40,44
"Es sordomudo/a (070)",22,18,,3,1,,,,
"Mujeres (072)",23166,8095,614,10711,3388,116,144,31,67
"Quechua (073)",20211,7463,439,9514,2618,76,62,15,24
"Aymara (074)",26,8,,16,2,,,,
"Ashaninca (075)",32,21,,11,,,,,
"Castellano (077)",2864,576,175,1165,767,40,82,16,43
"Es sordomudo/a (079)",33,27,,5,1,,,,
