"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia UCAYALI (000)",20353,16150,2427,891,885
"Agric., ganadería, caza y silvicultura (001)",12047,10517,1359,158,13
"Pesca (002)",754,708,39,7,
"Explotación de minas y canteras (003)",73,,,1,72
"Industrias manufactureras (004)",922,709,136,65,12
"Suministro de electricidad, gas y agua (005)",22,8,8,5,1
"Construcción (006)",319,147,49,63,60
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1691,1589,78,21,3
"Venta, mant.y rep. veh.autom y motoc. (008)",111,101,8,2,
"Comercio al por mayor (009)",66,50,7,6,3
"Comercio al por menor (010)",1514,1438,63,13,
"Hoteles y restaurantes (011)",431,376,37,15,3
"Trans., almac. y comunicaciones (012)",565,445,69,33,18
"Intermediación financiera (013)",4,3,1,,
"Activid.inmobil., empres. y alquileres (014)",182,77,34,47,24
"Admin.pub. y defensa; p. segur soc.afil (015)",399,,,,399
"Enseñanza (016)",1474,434,489,381,170
"Servicios sociales y de salud (017)",162,56,11,23,72
"Otras activ. serv.comun.soc y personales (018)",185,141,32,10,2
"Hogares privados con servicio doméstico (019)",440,440,,,
"Actividad economica no especificada (021)",683,500,85,62,36
"Hombres (022)",14353,11254,1831,608,660
"Agric., ganadería, caza y silvicultura (023)",9249,8044,1066,130,9
"Pesca (024)",711,666,39,6,
"Explotación de minas y canteras (025)",72,,,1,71
"Industrias manufactureras (026)",556,371,123,55,7
"Suministro de electricidad, gas y agua (027)",20,6,8,5,1
"Construcción (028)",313,145,48,62,58
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",963,894,51,18,
"Venta, mant.y rep. veh.autom y motoc. (030)",107,97,8,2,
"Comercio al por mayor (031)",44,34,5,5,
"Comercio al por menor (032)",812,763,38,11,
"Hoteles y restaurantes (033)",90,76,11,1,2
"Trans., almac. y comunicaciones (034)",539,424,67,30,18
"Intermediación financiera (035)",3,3,,,
"Activid.inmobil., empres. y alquileres (036)",164,67,30,44,23
"Admin.pub. y defensa; p. segur soc.afil (037)",308,,,,308
"Enseñanza (038)",770,173,295,192,110
"Servicios sociales y de salud (039)",83,35,4,11,33
"Otras activ. serv.comun.soc y personales (040)",108,71,28,7,2
"Hogares privados con servicio doméstico (041)",37,37,,,
"Actividad economica no especificada (043)",367,242,61,46,18
