"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUARAL (000)",2561,521,2040
"De 14 a 29 años (001)",1348,439,909
"De 30 a 44 años (002)",707,67,640
"De 45 a 64 años (003)",415,15,400
"De 65 y más años (004)",91,,91
"Hombres (005)",1702,293,1409
"De 14 a 29 años (006)",842,247,595
"De 30 a 44 años (007)",466,38,428
"De 45 a 64 años (008)",323,8,315
"De 65 y más años (009)",71,,71
"Mujeres (010)",859,228,631
"De 14 a 29 años (011)",506,192,314
"De 30 a 44 años (012)",241,29,212
"De 45 a 64 años (013)",92,7,85
"De 65 y más años (014)",20,,20
,,,
"AREA URBANA (015)",2288,470,1818
"De 14 a 29 años (016)",1194,390,804
"De 30 a 44 años (017)",650,65,585
"De 45 a 64 años (018)",367,15,352
"De 65 y más años (019)",77,,77
"Hombres (020)",1530,270,1260
"De 14 a 29 años (021)",755,225,530
"De 30 a 44 años (022)",431,37,394
"De 45 a 64 años (023)",283,8,275
"De 65 y más años (024)",61,,61
"Mujeres (025)",758,200,558
"De 14 a 29 años (026)",439,165,274
"De 30 a 44 años (027)",219,28,191
"De 45 a 64 años (028)",84,7,77
"De 65 y más años (029)",16,,16
,,,
"AREA RURAL (030)",273,51,222
"De 14 a 29 años (031)",154,49,105
"De 30 a 44 años (032)",57,2,55
"De 45 a 64 años (033)",48,,48
"De 65 y más años (034)",14,,14
"Hombres (035)",172,23,149
"De 14 a 29 años (036)",87,22,65
"De 30 a 44 años (037)",35,1,34
"De 45 a 64 años (038)",40,,40
"De 65 y más años (039)",10,,10
"Mujeres (040)",101,28,73
"De 14 a 29 años (041)",67,27,40
"De 30 a 44 años (042)",22,1,21
"De 45 a 64 años (043)",8,,8
"De 65 y más años (044)",4,,4
