"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia RECUAY (000)",16971,1977,1641,431,12928
"Hombres (001)",8263,916,863,258,6230
"Mujeres (002)",8708,1061,778,173,6698
"PEA (003)",6002,233,774,217,4782
"Hombres (004)",4340,140,518,171,3515
"Mujeres (005)",1662,93,256,46,1267
"Ocupada (006)",5503,219,757,214,4317
"Hombres (007)",3934,131,505,169,3133
"Mujeres (008)",1569,88,252,45,1184
"Desocupada (009)",499,14,17,3,465
"Hombres (010)",406,9,13,2,382
"Mujeres (011)",93,5,4,1,83
"No PEA (012)",10969,1744,867,214,8146
"Hombres (013)",3923,776,345,87,2715
"Mujeres (014)",7046,968,522,127,5431
,,,,,
"URBANA (018)",9686,1155,1313,329,6893
"Hombres (019)",4618,519,677,190,3235
"Mujeres (020)",5068,636,636,139,3658
"PEA (021)",3558,153,629,166,2613
"Hombres (022)",2417,81,401,124,1814
"Mujeres (023)",1141,72,228,42,799
"Ocupada (024)",3239,145,615,163,2319
"Hombres (025)",2164,77,391,122,1577
"Mujeres (026)",1075,68,224,41,742
"Desocupada (027)",319,8,14,3,294
"Hombres (028)",253,4,10,2,237
"Mujeres (029)",66,4,4,1,57
"No PEA (030)",6128,1002,684,163,4280
"Hombres (031)",2201,438,276,66,1421
"Mujeres (032)",3927,564,408,97,2859
,,,,,
"RURAL (036)",7285,822,328,102,6035
"Hombres (037)",3645,397,186,68,2995
"Mujeres (038)",3640,425,142,34,3040
"PEA (039)",2444,80,145,51,2169
"Hombres (040)",1923,59,117,47,1701
"Mujeres (041)",521,21,28,4,468
"Ocupada (042)",2264,74,142,51,1998
"Hombres (043)",1770,54,114,47,1556
"Mujeres (044)",494,20,28,4,442
"Desocupada (045)",180,6,3,,171
"Hombres (046)",153,5,3,,145
"Mujeres (047)",27,1,,,26
"No PEA (048)",4841,742,183,51,3866
"Hombres (049)",1722,338,69,21,1294
"Mujeres (050)",3119,404,114,30,2572
