"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PACASMAYO (000)",1796,38,910,457,332,59
"Sin nivel (001)",108,7,28,20,34,19
"Educación inicial (002)",2,,1,1,,
"Primaria (003)",461,21,155,127,129,29
"Secundaria (004)",629,10,375,144,93,7
"Superior no univ. incompleta (005)",128,,90,29,9,
"Superior no univ. completa (006)",256,,146,79,30,1
"Superior univ. incompleta (007)",59,,42,10,7,
"Superior univ. completa (008)",153,,73,47,30,3
"Hombres (010)",1320,23,629,329,290,49
"Sin nivel (011)",73,6,19,12,23,13
"Primaria (013)",366,11,116,100,113,26
"Secundaria (014)",499,6,281,119,87,6
"Superior no univ. incompleta (015)",90,,63,19,8,
"Superior no univ. completa (016)",155,,82,43,29,1
"Superior univ. incompleta (017)",40,,27,8,5,
"Superior univ. completa (018)",97,,41,28,25,3
"Mujeres (020)",476,15,281,128,42,10
"Sin nivel (021)",35,1,9,8,11,6
"Educación inicial (022)",2,,1,1,,
"Primaria (023)",95,10,39,27,16,3
"Secundaria (024)",130,4,94,25,6,1
"Superior no univ. incompleta (025)",38,,27,10,1,
"Superior no univ. completa (026)",101,,64,36,1,
"Superior univ. incompleta (027)",19,,15,2,2,
"Superior univ. completa (028)",56,,32,19,5,
,,,,,,
"Area Urbana (030)",1603,28,801,423,296,55
"Sin nivel (031)",81,2,22,17,25,15
"Educación inicial (032)",2,,1,1,,
"Primaria (033)",376,18,112,107,110,29
"Secundaria (034)",564,8,330,134,85,7
"Superior no univ. incompleta (035)",123,,85,29,9,
"Superior no univ. completa (036)",246,,137,78,30,1
"Superior univ. incompleta (037)",58,,41,10,7,
"Superior univ. completa (038)",153,,73,47,30,3
"Hombres (040)",1176,15,556,298,261,46
"Sin nivel (041)",54,2,15,9,18,10
"Primaria (043)",304,8,90,83,97,26
"Secundaria (044)",449,5,250,109,79,6
"Superior no univ. incompleta (045)",85,,58,19,8,
"Superior no univ. completa (046)",148,,76,42,29,1
"Superior univ. incompleta (047)",39,,26,8,5,
"Superior univ. completa (048)",97,,41,28,25,3
"Mujeres (050)",427,13,245,125,35,9
"Sin nivel (051)",27,,7,8,7,5
"Educación inicial (052)",2,,1,1,,
"Primaria (053)",72,10,22,24,13,3
"Secundaria (054)",115,3,80,25,6,1
"Superior no univ. incompleta (055)",38,,27,10,1,
"Superior no univ. completa (056)",98,,61,36,1,
"Superior univ. incompleta (057)",19,,15,2,2,
"Superior univ. completa (058)",56,,32,19,5,
,,,,,,
"Area Rural (060)",193,10,109,34,36,4
"Sin nivel (061)",27,5,6,3,9,4
"Primaria (063)",85,3,43,20,19,
"Secundaria (064)",65,2,45,10,8,
"Superior no univ. incompleta (065)",5,,5,,,
"Superior no univ. completa (066)",10,,9,1,,
"Superior univ. incompleta (067)",1,,1,,,
"Hombres (070)",144,8,73,31,29,3
"Sin nivel (071)",19,4,4,3,5,3
"Primaria (073)",62,3,26,17,16,
"Secundaria (074)",50,1,31,10,8,
"Superior no univ. incompleta (075)",5,,5,,,
"Superior no univ. completa (076)",7,,6,1,,
"Superior univ. incompleta (077)",1,,1,,,
"Mujeres (080)",49,2,36,3,7,1
"Sin nivel (081)",8,1,2,,4,1
"Primaria (083)",23,,17,3,3,
"Secundaria (084)",15,1,14,,,
"Superior no univ. completa (086)",3,,3,,,
