"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia HUAMALIES",,,,,,
"Viviendas particulares (001)",15352,14990,312,40,5,5
"Ocupantes presentes (002)",66022,62851,2494,480,71,126
"Casa independiente",,,,,,
"Viviendas particulares (004)",14516,14157,310,40,4,5
"Ocupantes presentes (005)",62887,59742,2484,480,55,126
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",3,3,,,,
"Ocupantes presentes (008)",11,11,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",29,27,1,,1,
"Ocupantes presentes (011)",99,79,4,,16,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",58,57,1,,,
"Ocupantes presentes (014)",197,191,6,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",727,727,,,,
"Ocupantes presentes (017)",2764,2764,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",9,9,,,,
"Ocupantes presentes (020)",41,41,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",8,8,,,,
"Ocupantes presentes (023)",20,20,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",2,2,,,,
"Ocupantes presentes (026)",3,3,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",4208,3937,236,29,4,2
"Ocupantes presentes (029)",18272,15955,1865,351,58,43
"Casa independiente",,,,,,
"Viviendas particulares (031)",4105,3837,234,29,3,2
"Ocupantes presentes (032)",17914,15623,1855,351,42,43
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",3,3,,,,
"Ocupantes presentes (035)",11,11,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",29,27,1,,1,
"Ocupantes presentes (038)",99,79,4,,16,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",58,57,1,,,
"Ocupantes presentes (041)",197,191,6,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",9,9,,,,
"Ocupantes presentes (047)",41,41,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",4,4,,,,
"Ocupantes presentes (050)",10,10,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",11144,11053,76,11,1,3
"Ocupantes presentes (056)",47750,46896,629,129,13,83
"Casa independiente",,,,,,
"Viviendas particulares (058)",10411,10320,76,11,1,3
"Ocupantes presentes (059)",44973,44119,629,129,13,83
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",727,727,,,,
"Ocupantes presentes (071)",2764,2764,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",4,4,,,,
"Ocupantes presentes (077)",10,10,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",2,2,,,,
"Ocupantes presentes (080)",3,3,,,,
