"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",16029,14960,1069
"Hombres (001)",8515,8071,444
"Mujeres (002)",7514,6889,625
"De 18 a 29 años (003)",4815,4435,380
"Hombres (004)",2601,2405,196
"Mujeres (005)",2214,2030,184
"De 30 a 44 años (006)",5194,5064,130
"Hombres (007)",2765,2698,67
"Mujeres (008)",2429,2366,63
"De 45 a 64 años (009)",3939,3732,207
"Hombres (010)",2146,2055,91
"Mujeres (011)",1793,1677,116
"De 65 y más años (012)",2081,1729,352
"Hombres (013)",1003,913,90
"Mujeres (014)",1078,816,262
,,,
"URBANA (015)",5403,5177,226
"Hombres (016)",2709,2623,86
"Mujeres (017)",2694,2554,140
"De 18 a 29 años (018)",1355,1291,64
"Hombres (019)",665,641,24
"Mujeres (020)",690,650,40
"De 30 a 44 años (021)",1874,1850,24
"Hombres (022)",930,921,9
"Mujeres (023)",944,929,15
"De 45 a 64 años (024)",1429,1382,47
"Hombres (025)",768,741,27
"Mujeres (026)",661,641,20
"De 65 y más años (027)",745,654,91
"Hombres (028)",346,320,26
"Mujeres (029)",399,334,65
,,,
"RURAL (030)",10626,9783,843
"Hombres (031)",5806,5448,358
"Mujeres (032)",4820,4335,485
"De 18 a 29 años (033)",3460,3144,316
"Hombres (034)",1936,1764,172
"Mujeres (035)",1524,1380,144
"De 30 a 44 años (036)",3320,3214,106
"Hombres (037)",1835,1777,58
"Mujeres (038)",1485,1437,48
"De 45 a 64 años (039)",2510,2350,160
"Hombres (040)",1378,1314,64
"Mujeres (041)",1132,1036,96
"De 65 y más años (042)",1336,1075,261
"Hombres (043)",657,593,64
"Mujeres (044)",679,482,197
