"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TAMBOPATA (000)",58239,5720,10350,2705,39621
"Conviviente (001)",23603,1915,3640,786,17303
"Separado(a) (002)",2073,145,297,64,1573
"Casado(a) (003)",9277,502,3034,740,5069
"Viudo(a) (004)",1188,102,204,48,834
"Divorciado(a) (005)",304,18,74,25,187
"Soltero(a) (006)",21794,3038,3101,1042,14655
"Hombres (008)",31144,2410,5579,1710,21543
"Conviviente (009)",11644,585,1941,475,8667
"Separado(a) (010)",918,41,136,36,711
"Casado(a) (011)",4931,215,1635,481,2647
"Viudo(a) (012)",482,37,75,17,353
"Divorciado(a) (013)",163,7,34,15,107
"Soltero(a) (014)",13006,1525,1758,686,9058
"Mujeres (016)",27095,3310,4771,995,18078
"Conviviente (017)",11959,1330,1699,311,8636
"Separado(a) (018)",1155,104,161,28,862
"Casado(a) (019)",4346,287,1399,259,2422
"Viudo(a) (020)",706,65,129,31,481
"Divorciado(a) (021)",141,11,40,10,80
"Soltero(a) (022)",8788,1513,1343,356,5597
,,,,,
"URBANA (024)",48426,4631,9359,2465,32109
"Conviviente (025)",19094,1525,3270,709,13628
"Separado(a) (026)",1685,125,255,62,1249
"Casado(a) (027)",7916,416,2765,695,4099
"Viudo(a) (028)",942,79,186,45,632
"Divorciado(a) (029)",257,15,63,25,154
"Soltero(a) (030)",18532,2471,2820,929,12347
"Hombres (032)",25023,1849,4832,1552,16873
"Conviviente (033)",9181,427,1668,430,6678
"Separado(a) (034)",676,31,108,35,508
"Casado(a) (035)",4088,169,1425,446,2086
"Viudo(a) (036)",333,22,62,15,234
"Divorciado(a) (037)",125,5,25,15,80
"Soltero(a) (038)",10620,1195,1544,611,7287
"Mujeres (040)",23403,2782,4527,913,15236
"Conviviente (041)",9913,1098,1602,279,6950
"Separado(a) (042)",1009,94,147,27,741
"Casado(a) (043)",3828,247,1340,249,2013
"Viudo(a) (044)",609,57,124,30,398
"Divorciado(a) (045)",132,10,38,10,74
"Soltero(a) (046)",7912,1276,1276,318,5060
,,,,,
"RURAL (048)",9813,1089,991,240,7512
"Conviviente (049)",4509,390,370,77,3675
"Separado(a) (050)",388,20,42,2,324
"Casado(a) (051)",1361,86,269,45,970
"Viudo(a) (052)",246,23,18,3,202
"Divorciado(a) (053)",47,3,11,,33
"Soltero(a) (054)",3262,567,281,113,2308
"Hombres (056)",6121,561,747,158,4670
"Conviviente (057)",2463,158,273,45,1989
"Separado(a) (058)",242,10,28,1,203
"Casado(a) (059)",843,46,210,35,561
"Viudo(a) (060)",149,15,13,2,119
"Divorciado(a) (061)",38,2,9,,27
"Soltero(a) (062)",2386,330,214,75,1771
"Mujeres (064)",3692,528,244,82,2842
"Conviviente (065)",2046,232,97,32,1686
"Separado(a) (066)",146,10,14,1,121
"Casado(a) (067)",518,40,59,10,409
"Viudo(a) (068)",97,8,5,1,83
"Divorciado(a) (069)",9,1,2,,6
"Soltero(a) (070)",876,237,67,38,537
