"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUARAZ",,,,,,,,,
"Viviendas particulares (001)",27002,714,642,420,1529,375,420,443,22459
"Ocupantes presentes (002)",114553,3214,2850,1869,6615,1575,1888,1933,94609
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",25171,704,630,409,1474,364,391,412,20787
"Ocupantes presentes (005)",107777,3167,2809,1818,6381,1525,1758,1838,88481
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",720,3,6,6,22,8,11,12,652
"Ocupantes presentes (008)",2630,11,19,30,93,34,42,41,2360
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",452,3,2,1,16,3,4,3,420
"Ocupantes presentes (011)",1727,19,7,8,65,16,27,11,1574
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",599,2,2,4,13,,11,16,551
"Ocupantes presentes (014)",2267,12,8,13,64,,50,43,2077
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",7,1,,,1,,,,5
"Ocupantes presentes (017)",15,1,,,4,,,,10
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",24,1,1,,,,,,22
"Ocupantes presentes (020)",68,4,3,,,,,,61
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",29,,1,,3,,3,,22
"Ocupantes presentes (023)",69,,4,,8,,11,,46
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",21841,435,441,346,1145,360,414,390,18310
"Ocupantes presentes (029)",93350,1978,1949,1567,5080,1513,1863,1703,77697
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",20019,426,430,335,1092,349,385,359,16643
"Ocupantes presentes (032)",86594,1932,1912,1516,4851,1463,1733,1608,71579
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",720,3,6,6,22,8,11,12,652
"Ocupantes presentes (035)",2630,11,19,30,93,34,42,41,2360
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",452,3,2,1,16,3,4,3,420
"Ocupantes presentes (038)",1727,19,7,8,65,16,27,11,1574
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",599,2,2,4,13,,11,16,551
"Ocupantes presentes (041)",2267,12,8,13,64,,50,43,2077
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",24,1,1,,,,,,22
"Ocupantes presentes (047)",68,4,3,,,,,,61
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",27,,,,2,,3,,22
"Ocupantes presentes (050)",64,,,,7,,11,,46
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5161,279,201,74,384,15,6,53,4149
"Ocupantes presentes (056)",21203,1236,901,302,1535,62,25,230,16912
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",5152,278,200,74,382,15,6,53,4144
"Ocupantes presentes (059)",21183,1235,897,302,1530,62,25,230,16902
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",7,1,,,1,,,,5
"Ocupantes presentes (071)",15,1,,,4,,,,10
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,,1,,1,,,,
"Ocupantes presentes (077)",5,,4,,1,,,,
"Otro tipo",,,,,,,,,
