"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CONDORCANQUI (000)",10792,1081,551,5673,39,2898,125,425
"Agric., ganadería, caza y silvicultura (001)",8047,13,308,4918,20,2788,,
"Pesca (002)",41,2,4,29,,6,,
"Explotación de minas y canteras (003)",21,,15,6,,,,
"Industrias manufactureras (004)",108,1,29,72,3,3,,
"Suministro de electricidad, gas y agua (005)",1,1,,,,,,
"Construcción (006)",166,6,99,34,2,25,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",306,35,7,210,9,45,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",18,1,5,12,,,,
"Comercio al por mayor (009)",17,6,,8,1,2,,
"Comercio al por menor (010)",271,28,2,190,8,43,,
"Hoteles y restaurantes (011)",120,17,5,85,2,11,,
"Trans., almac. y comunicaciones (012)",119,14,43,60,1,1,,
"Intermediación financiera (013)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (014)",56,46,3,7,,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",181,175,6,,,,,
"Enseñanza (016)",684,619,,64,,1,,
"Servicios sociales y de salud (017)",114,98,11,4,,1,,
"Otras activ. serv.comun.soc y personales (018)",60,34,12,13,,1,,
"Hogares privados con servicio doméstico (019)",125,,,,,,125,
"Organiz. y organos extraterritoriales (020)",1,1,,,,,,
"Actividad economica no especificada (021)",215,17,9,171,2,16,,
"Desocupado (022)",425,,,,,,,425
"Hombres (023)",6388,767,460,4078,33,670,15,365
"Agric., ganadería, caza y silvicultura (024)",4497,8,238,3624,18,609,,
"Pesca (025)",37,2,4,25,,6,,
"Explotación de minas y canteras (026)",19,,13,6,,,,
"Industrias manufactureras (027)",97,1,28,62,3,3,,
"Suministro de electricidad, gas y agua (028)",1,1,,,,,,
"Construcción (029)",162,6,96,34,2,24,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",193,20,7,138,9,19,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",18,1,5,12,,,,
"Comercio al por mayor (032)",10,4,,5,1,,,
"Comercio al por menor (033)",165,15,2,121,8,19,,
"Hoteles y restaurantes (034)",26,5,,19,,2,,
"Trans., almac. y comunicaciones (035)",115,13,41,59,1,1,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",48,38,3,7,,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",158,152,6,,,,,
"Enseñanza (039)",470,425,,44,,1,,
"Servicios sociales y de salud (040)",84,69,11,3,,1,,
"Otras activ. serv.comun.soc y personales (041)",33,17,9,7,,,,
"Hogares privados con servicio doméstico (042)",15,,,,,,15,
"Organiz. y organos extraterritoriales (043)",1,1,,,,,,
"Actividad economica no especificada (044)",66,8,4,50,,4,,
"Desocupado (045)",365,,,,,,,365
"Mujeres (046)",4404,314,91,1595,6,2228,110,60
"Agric., ganadería, caza y silvicultura (047)",3550,5,70,1294,2,2179,,
"Pesca (048)",4,,,4,,,,
"Explotación de minas y canteras (049)",2,,2,,,,,
"Industrias manufactureras (050)",11,,1,10,,,,
"Construcción (052)",4,,3,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",113,15,,72,,26,,
"Comercio al por mayor (055)",7,2,,3,,2,,
"Comercio al por menor (056)",106,13,,69,,24,,
"Hoteles y restaurantes (057)",94,12,5,66,2,9,,
"Trans., almac. y comunicaciones (058)",4,1,2,1,,,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",8,8,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",23,23,,,,,,
"Enseñanza (062)",214,194,,20,,,,
"Servicios sociales y de salud (063)",30,29,,1,,,,
"Otras activ. serv.comun.soc y personales (064)",27,17,3,6,,1,,
"Hogares privados con servicio doméstico (065)",110,,,,,,110,
"Actividad economica no especificada (067)",149,9,5,121,2,12,,
"Desocupado (068)",60,,,,,,,60
,,,,,,,,
"URBANA (069)",1692,506,177,659,7,169,99,75
"Agric., ganadería, caza y silvicultura (070)",552,2,81,345,3,121,,
"Pesca (071)",3,,1,,,2,,
"Explotación de minas y canteras (072)",11,,9,2,,,,
"Industrias manufactureras (073)",46,,15,31,,,,
"Suministro de electricidad, gas y agua (074)",1,1,,,,,,
"Construcción (075)",35,3,22,9,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",172,26,5,106,2,33,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",13,1,3,9,,,,
"Comercio al por mayor (078)",14,6,,7,,1,,
"Comercio al por menor (079)",145,19,2,90,2,32,,
"Hoteles y restaurantes (080)",83,16,3,53,2,9,,
"Trans., almac. y comunicaciones (081)",80,13,21,46,,,,
"Intermediación financiera (082)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (083)",43,37,,6,,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",132,127,5,,,,,
"Enseñanza (085)",201,184,,17,,,,
"Servicios sociales y de salud (086)",54,52,1,1,,,,
"Otras activ. serv.comun.soc y personales (087)",47,29,5,12,,1,,
"Hogares privados con servicio doméstico (088)",99,,,,,,99,
"Organiz. y organos extraterritoriales (089)",1,1,,,,,,
"Actividad economica no especificada (090)",55,13,9,31,,2,,
"Desocupado (091)",75,,,,,,,75
"Hombres (092)",1077,344,155,441,4,61,11,61
"Agric., ganadería, caza y silvicultura (093)",365,2,71,248,2,42,,
"Pesca (094)",3,,1,,,2,,
"Explotación de minas y canteras (095)",11,,9,2,,,,
"Industrias manufactureras (096)",39,,14,25,,,,
"Suministro de electricidad, gas y agua (097)",1,1,,,,,,
"Construcción (098)",35,3,22,9,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",95,12,5,61,2,15,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",13,1,3,9,,,,
"Comercio al por mayor (101)",9,4,,5,,,,
"Comercio al por menor (102)",73,7,2,47,2,15,,
"Hoteles y restaurantes (103)",16,4,,11,,1,,
"Trans., almac. y comunicaciones (104)",77,12,20,45,,,,
"Intermediación financiera (105)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (106)",36,30,,6,,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",112,107,5,,,,,
"Enseñanza (108)",128,116,,12,,,,
"Servicios sociales y de salud (109)",37,35,1,1,,,,
"Otras activ. serv.comun.soc y personales (110)",25,16,3,6,,,,
"Hogares privados con servicio doméstico (111)",11,,,,,,11,
"Organiz. y organos extraterritoriales (112)",1,1,,,,,,
"Actividad economica no especificada (113)",23,4,4,15,,,,
"Desocupado (114)",61,,,,,,,61
"Mujeres (115)",615,162,22,218,3,108,88,14
"Agric., ganadería, caza y silvicultura (116)",187,,10,97,1,79,,
"Industrias manufactureras (119)",7,,1,6,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",77,14,,45,,18,,
