"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MORROPON (000)",42539,379,15705,14085,4578,1666,788,241,35,,5062
"Conviviente (001)",18209,174,7643,5971,1836,623,249,70,8,,1635
"Separado(a) (002)",2643,33,961,898,366,134,61,14,3,,173
"Casado(a) (003)",14666,106,5354,5408,1774,635,319,97,14,,959
"Viudo(a) (004)",3533,44,1315,1228,324,152,98,45,7,,320
"Divorciado(a) (005)",101,1,30,30,19,5,2,,,,14
"Soltero(a) (006)",3387,21,402,550,259,117,59,15,3,,1961
,,,,,,,,,,,
"URBANA (008)",25520,237,8886,8230,2916,1133,564,157,25,,3372
"Conviviente (009)",11410,110,4546,3738,1235,450,182,43,5,,1101
"Separado(a) (010)",1808,24,667,600,243,94,45,10,2,,123
"Casado(a) (011)",8152,60,2767,2901,1087,429,229,66,11,,602
"Viudo(a) (012)",1958,28,679,670,190,93,67,27,5,,199
"Divorciado(a) (013)",79,1,25,24,14,4,,,,,11
"Soltero(a) (014)",2113,14,202,297,147,63,41,11,2,,1336
,,,,,,,,,,,
"RURAL (016)",17019,142,6819,5855,1662,533,224,84,10,,1690
"Conviviente (017)",6799,64,3097,2233,601,173,67,27,3,,534
"Separado(a) (018)",835,9,294,298,123,40,16,4,1,,50
"Casado(a) (019)",6514,46,2587,2507,687,206,90,31,3,,357
"Viudo(a) (020)",1575,16,636,558,134,59,31,18,2,,121
"Divorciado(a) (021)",22,,5,6,5,1,2,,,,3
"Soltero(a) (022)",1274,7,200,253,112,54,18,4,1,,625
