"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHURCAMPA (000)",40631,9397,1434,18942,9157,429,527,211,534
"Jefe o Jefa (001)",11163,2975,12,5006,2398,123,257,76,316
"Esposa(o)/ compa¤era(o) (002)",6900,2560,18,3077,989,48,98,25,85
"Hijo(a)/ hijastro(a) (003)",19076,2986,1244,9405,4982,206,103,84,66
"Yerno/ nuera (004)",268,17,3,92,129,5,9,4,9
"Nieto(a) (005)",1157,276,114,585,163,6,5,4,4
"Padres/ suegros (006)",286,224,,52,9,,,1,
"Otro(a) pariente (007)",1486,315,42,650,393,23,27,11,25
"Trabajador(a) del hogar (008)",17,3,,7,7,,,,
"Pensionista (009)",18,1,,1,6,,8,,2
"Otro(a) no pariente (010)",260,40,1,67,81,18,20,6,27
"Hombres (012)",19689,3030,715,9502,5458,240,277,135,332
"Jefe o Jefa (013)",7780,1270,9,3906,2017,94,178,64,242
"Esposa(o)/ compa¤era(o) (014)",489,53,1,230,166,6,9,6,18
"Hijo(a)/ hijastro(a) (015)",9743,1394,626,4661,2817,106,54,48,37
"Yerno/ nuera (016)",116,4,1,33,62,4,2,3,7
"Nieto(a) (017)",576,136,55,280,95,2,4,1,3
"Padres/ suegros (018)",71,33,,29,8,,,1,
"Otro(a) pariente (019)",755,128,22,327,230,15,16,9,8
"Trabajador(a) del hogar (020)",5,1,,,4,,,,
"Pensionista (021)",16,,,1,6,,8,,1
"Otro(a) no pariente (022)",138,11,1,35,53,13,6,3,16
"Mujeres (024)",20942,6367,719,9440,3699,189,250,76,202
"Jefe o Jefa (025)",3383,1705,3,1100,381,29,79,12,74
"Esposa(o)/ compa¤era(o) (026)",6411,2507,17,2847,823,42,89,19,67
"Hijo(a)/ hijastro(a) (027)",9333,1592,618,4744,2165,100,49,36,29
"Yerno/ nuera (028)",152,13,2,59,67,1,7,1,2
"Nieto(a) (029)",581,140,59,305,68,4,1,3,1
"Padres/ suegros (030)",215,191,,23,1,,,,
"Otro(a) pariente (031)",731,187,20,323,163,8,11,2,17
"Trabajador(a) del hogar (032)",12,2,,7,3,,,,
"Pensionista (033)",2,1,,,,,,,1
"Otro(a) no pariente (034)",122,29,,32,28,5,14,3,11
,,,,,,,,,
"URBANA (036)",8522,1172,242,3287,2662,265,366,147,381
"Jefe o Jefa (037)",2555,325,2,917,780,84,172,51,224
"Esposa(o)/ compa¤era(o) (038)",1322,220,1,537,376,35,71,20,62
"Hijo(a)/ hijastro(a) (039)",3572,430,205,1469,1192,108,67,54,47
"Yerno/ nuera (040)",61,,,10,31,5,4,3,8
"Nieto(a) (041)",270,50,25,121,60,3,3,4,4
"Padres/ suegros (042)",78,52,,21,5,,,,
"Otro(a) pariente (043)",459,73,9,160,154,14,24,10,15
"Trabajador(a) del hogar (044)",12,1,,6,5,,,,
"Pensionista (045)",11,,,,2,,7,,2
"Otro(a) no pariente (046)",182,21,,46,57,16,18,5,19
"Hombres (048)",4108,366,122,1511,1458,140,183,94,234
