"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia GRAN CHIMU",,,,,,,
"Viviendas particulares (001)",7368,621,398,82,5683,294,290
"Ocupantes presentes (002)",29400,2209,1597,352,22964,1056,1222
"Casa independiente",,,,,,,
"Viviendas particulares (004)",7266,588,394,78,5638,284,284
"Ocupantes presentes (005)",29027,2064,1589,331,22796,1035,1212
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",22,17,,1,2,1,1
"Ocupantes presentes (008)",66,51,,7,4,1,3
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",6,5,,,1,,
"Ocupantes presentes (011)",44,27,,,17,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",17,10,,1,5,,1
"Ocupantes presentes (014)",97,62,,7,26,,2
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",53,1,4,2,35,8,3
"Ocupantes presentes (017)",160,5,8,7,117,19,4
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",2,,,,1,1,
"Ocupantes presentes (020)",3,,,,2,1,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",2,,,,1,,1
"Ocupantes presentes (023)",3,,,,2,,1
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",1636,378,6,39,1071,57,85
"Ocupantes presentes (029)",6480,1391,26,191,4290,203,379
"Casa independiente",,,,,,,
"Viviendas particulares (031)",1588,346,6,37,1061,55,83
"Ocupantes presentes (032)",6268,1251,26,177,4239,201,374
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",22,17,,1,2,1,1
"Ocupantes presentes (035)",66,51,,7,4,1,3
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",6,5,,,1,,
"Ocupantes presentes (038)",44,27,,,17,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",17,10,,1,5,,1
"Ocupantes presentes (041)",97,62,,7,26,,2
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",2,,,,1,1,
"Ocupantes presentes (047)",3,,,,2,1,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",1,,,,1,,
"Ocupantes presentes (050)",2,,,,2,,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5732,243,392,43,4612,237,205
"Ocupantes presentes (056)",22920,818,1571,161,18674,853,843
"Casa independiente",,,,,,,
"Viviendas particulares (058)",5678,242,388,41,4577,229,201
"Ocupantes presentes (059)",22759,813,1563,154,18557,834,838
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",53,1,4,2,35,8,3
"Ocupantes presentes (071)",160,5,8,7,117,19,4
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,,1
"Ocupantes presentes (077)",1,,,,,,1
"Otro tipo",,,,,,,
