"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL NIETO (000)",28885,27598,8329,5321,5441,3310,3122,1274,544,257,1287,55416
"De 12 a 14 años (001)",1995,1978,1971,6,1,,,,,,17,8
"De 15 a 19 años (002)",3095,3030,2748,242,32,6,2,,,,65,332
"De 20 a 24 años (003)",3532,3097,1673,1077,301,36,7,3,,,435,1837
"De 25 a 29 años (004)",3359,2974,726,1270,761,174,42,1,,,385,3491
"De 30 a 34 años (005)",3015,2878,355,908,1037,424,140,11,2,1,137,4944
"De 35 a 39 años (006)",3025,2932,240,684,1100,544,314,39,8,3,93,6222
"De 40 a 44 años (007)",2469,2426,158,374,761,582,426,109,15,1,43,6303
"De 45 a 49 años (008)",1978,1944,106,254,514,466,444,125,30,5,34,5710
"De 50 y más años (009)",6417,6339,352,506,934,1078,1747,986,489,247,78,26569
"PEA (010)",13551,12868,2667,3029,3034,1790,1515,526,207,100,683,27283
"De 12 a 14 años (011)",86,86,82,4,,,,,,,,4
"De 15 a 19 años (012)",611,588,491,84,11,2,,,,,23,112
"De 20 a 24 años (013)",1618,1411,794,467,125,19,5,1,,,207,802
"De 25 a 29 años (014)",1990,1741,526,739,376,88,12,,,,249,1804
"De 30 a 34 años (015)",1834,1747,266,592,592,224,67,5,1,,87,2773
"De 35 a 39 años (016)",1932,1869,181,480,667,335,178,22,4,2,63,3790
"De 40 a 44 años (017)",1604,1585,103,254,489,384,277,68,10,,19,4092
"De 45 a 49 años (018)",1270,1251,76,173,342,303,268,69,16,4,19,3539
"De 50 y más años (019)",2606,2590,148,236,432,435,708,361,176,94,16,10367
"Ocupada (020)",12146,11543,2239,2664,2800,1652,1403,492,199,94,603,25208
"De 12 a 14 años (021)",80,80,77,3,,,,,,,,3
