"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia JUNIN",,,,,,,,,
"Viviendas particulares (001)",8792,3329,2776,1188,776,320,181,109,113
"Ocupantes presentes (002)",29950,9959,9733,4319,3119,1172,695,446,507
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",8289,3004,2671,1148,751,315,179,109,112
"Ocupantes presentes (005)",28475,9119,9392,4173,3000,1152,690,446,503
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",26,7,8,5,3,,2,,1
"Ocupantes presentes (011)",97,23,30,20,15,,5,,4
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",195,84,55,31,20,5,,,
"Ocupantes presentes (014)",725,292,202,113,98,20,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",276,230,40,4,2,,,,
"Ocupantes presentes (017)",642,519,104,13,6,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",6,4,2,,,,,,
"Ocupantes presentes (023)",11,6,5,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",5879,1569,1944,988,691,302,169,105,111
"Ocupantes presentes (029)",21080,4943,6966,3647,2816,1118,655,438,497
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",5654,1476,1879,952,668,297,167,105,110
"Ocupantes presentes (032)",20249,4624,6729,3514,2703,1098,650,438,493
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",26,7,8,5,3,,2,,1
"Ocupantes presentes (038)",97,23,30,20,15,,5,,4
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",195,84,55,31,20,5,,,
"Ocupantes presentes (041)",725,292,202,113,98,20,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,2,2,,,,,,
"Ocupantes presentes (050)",9,4,5,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2913,1760,832,200,85,18,12,4,2
"Ocupantes presentes (056)",8870,5016,2767,672,303,54,40,8,10
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2635,1528,792,196,83,18,12,4,2
"Ocupantes presentes (059)",8226,4495,2663,659,297,54,40,8,10
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",276,230,40,4,2,,,,
"Ocupantes presentes (071)",642,519,104,13,6,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,2,,,,,,,
"Ocupantes presentes (077)",2,2,,,,,,,
"Otro tipo",,,,,,,,,
