"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia CHEPEN",,,,,
"Viviendas particulares (001)",1028,85,21,615,307
"Ocupantes presentes (002)",4391,324,82,2592,1393
"Casa independiente",,,,,
"Viviendas particulares (004)",1012,82,21,610,299
"Ocupantes presentes (005)",4311,297,82,2563,1369
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",12,3,,4,5
"Ocupantes presentes (011)",58,27,,19,12
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",4,,,1,3
"Ocupantes presentes (014)",22,,,10,12
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",837,75,14,450,298
"Ocupantes presentes (029)",3607,290,59,1901,1357
"Casa independiente",,,,,
"Viviendas particulares (031)",821,72,14,445,290
"Ocupantes presentes (032)",3527,263,59,1872,1333
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",12,3,,4,5
"Ocupantes presentes (038)",58,27,,19,12
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",4,,,1,3
"Ocupantes presentes (041)",22,,,10,12
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",191,10,7,165,9
"Ocupantes presentes (056)",784,34,23,691,36
"Casa independiente",,,,,
"Viviendas particulares (058)",191,10,7,165,9
"Ocupantes presentes (059)",784,34,23,691,36
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
