"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN ROMAN (000)",130,129,1
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",71,71,
"Casa pensión (003)",18,18,
"Hospital, clinica (004)",7,7,
"Cárcel, centro de readaptación social (005)",2,2,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",27,26,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",3,3,
