"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TARATA (000)",2377,22,913,753,264,88,46,22,2,,267
"Catolica (001)",1904,16,705,616,212,72,37,19,2,,225
"Cristiana / Evangelica (002)",220,2,99,66,24,8,1,1,,,19
"Otra (003)",195,2,84,56,21,6,6,2,,,18
"Ninguna (004)",58,2,25,15,7,2,2,,,,5
,,,,,,,,,,,
"URBANA (006)",1879,18,709,608,209,63,33,18,1,,220
"Catolica (007)",1517,13,551,498,170,52,28,15,1,,189
"Cristiana / Evangelica (008)",146,1,66,44,15,6,,1,,,13
"Otra (009)",168,2,70,53,18,4,4,2,,,15
"Ninguna (010)",48,2,22,13,6,1,1,,,,3
,,,,,,,,,,,
"RURAL (012)",498,4,204,145,55,25,13,4,1,,47
"Catolica (013)",387,3,154,118,42,20,9,4,1,,36
"Cristiana / Evangelica (014)",74,1,33,22,9,2,1,,,,6
"Otra (015)",27,,14,3,3,2,2,,,,3
"Ninguna (016)",10,,3,2,1,1,1,,,,2
