"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUANUCO (000)",131704,17432,37807,33475,42990
"Asiste actualmente (001)",88194,5748,35228,29225,17993
"No asiste (002)",43510,11684,2579,4250,24997
"Hombres (004)",66385,8903,19352,16944,21186
"Asiste actualmente (005)",44839,2937,18071,14844,8987
"No asiste (006)",21546,5966,1281,2100,12199
"Mujeres (008)",65319,8529,18455,16531,21804
"Asiste actualmente (009)",43355,2811,17157,14381,9006
"No asiste (010)",21964,5718,1298,2150,12798
,,,,,
"URBANA (012)",76977,9361,19889,19542,28185
"Asiste actualmente (013)",56860,4203,19117,18165,15375
"No asiste (014)",20117,5158,772,1377,12810
"Hombres (016)",38148,4774,10118,9668,13588
"Asiste actualmente (017)",28280,2134,9731,8973,7442
"No asiste (018)",9868,2640,387,695,6146
"Mujeres (020)",38829,4587,9771,9874,14597
"Asiste actualmente (021)",28580,2069,9386,9192,7933
"No asiste (022)",10249,2518,385,682,6664
,,,,,
"RURAL (024)",54727,8071,17918,13933,14805
"Asiste actualmente (025)",31334,1545,16111,11060,2618
"No asiste (026)",23393,6526,1807,2873,12187
"Hombres (028)",28237,4129,9234,7276,7598
"Asiste actualmente (029)",16559,803,8340,5871,1545
"No asiste (030)",11678,3326,894,1405,6053
"Mujeres (032)",26490,3942,8684,6657,7207
"Asiste actualmente (033)",14775,742,7771,5189,1073
"No asiste (034)",11715,3200,913,1468,6134
