"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PARINACOCHAS (000)",10896,10672,3009,1208,1285,1029,1545,1124,1472,224
"Católica (001)",9892,9691,2747,1109,1176,934,1384,1013,1328,201
"Cristiana/Evangélica (002)",694,681,180,59,70,64,115,93,100,13
"Otra (003)",203,196,46,23,25,22,35,17,28,7
"Ninguna (004)",107,104,36,17,14,9,11,1,16,3
,,,,,,,,,,
"URBANA (006)",6462,6318,1866,810,827,674,910,561,670,144
"Católica (007)",6052,5918,1743,768,775,628,857,522,625,134
"Cristiana/Evangélica (008)",253,248,75,19,32,27,34,34,27,5
"Otra (009)",96,92,24,11,12,16,11,4,14,4
"Ninguna (010)",61,60,24,12,8,3,8,1,4,1
,,,,,,,,,,
"RURAL (012)",4434,4354,1143,398,458,355,635,563,802,80
"Católica (013)",3840,3773,1004,341,401,306,527,491,703,67
"Cristiana/Evangélica (014)",441,433,105,40,38,37,81,59,73,8
"Otra (015)",107,104,22,12,13,6,24,13,14,3
"Ninguna (016)",46,44,12,5,6,6,3,,12,2
