"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia URUBAMBA (000)",53426,894,17246,13674,10231,7622,3759
"Jefe o Jefa (001)",13623,,47,1970,4906,4438,2262
"Esposa(o) / compañera(o) (002)",8990,,14,1934,3677,2533,832
"Hijo(a) / hijastro(a) (003)",23772,632,14496,7529,934,178,3
"Yerno / nuera (004)",636,,9,426,169,31,1
"Nieto(a) (005)",1931,187,1480,252,11,1,
"Padres / suegros (006)",650,,,1,10,151,488
"Otro(a) pariente (007)",2445,66,927,848,303,176,125
"Trabajador(a) del hogar (008)",175,,25,124,13,11,2
"Pensionistas (009)",54,,1,27,17,6,3
"Otro(a) no pariente (010)",1150,9,247,563,191,97,43
"Hombres (011)",26848,476,8741,6917,5072,3892,1750
"Jefe o Jefa (012)",10050,,22,1386,3843,3343,1456
"Esposa(o) / compañera(o) (013)",731,,12,173,279,210,57
"Hijo(a) / hijastro(a) (014)",12458,339,7346,4159,517,96,1
"Yerno / nuera (015)",308,,4,180,101,22,1
"Nieto(a) (016)",965,96,725,137,7,,
"Padres / suegros (017)",228,,,1,6,59,162
"Otro(a) pariente (018)",1341,38,472,510,173,97,51
"Trabajador(a) del hogar (019)",58,,18,33,3,4,
"Pensionistas (020)",34,,1,16,12,4,1
"Otro(a) no pariente (021)",675,3,141,322,131,57,21
"Mujeres (022)",26578,418,8505,6757,5159,3730,2009
"Jefe o Jefa (023)",3573,,25,584,1063,1095,806
"Esposa(o) / compañera(o) (024)",8259,,2,1761,3398,2323,775
"Hijo(a) / hijastro(a) (025)",11314,293,7150,3370,417,82,2
"Yerno / nuera (026)",328,,5,246,68,9,
"Nieto(a) (027)",966,91,755,115,4,1,
"Padres / suegros (028)",422,,,,4,92,326
"Otro(a) pariente (029)",1104,28,455,338,130,79,74
"Trabajador(a) del hogar (030)",117,,7,91,10,7,2
"Pensionistas (031)",20,,,11,5,2,2
"Otro(a) no pariente (032)",475,6,106,241,60,40,22
,,,,,,,
"URBANA (033)",24553,372,7341,6797,4928,3450,1665
"Jefe o Jefa (034)",6517,,35,1125,2373,2022,962
"Esposa(o) / compañera(o) (035)",3878,,10,871,1588,1051,358
"Hijo(a) / hijastro(a) (036)",10100,259,5891,3351,495,104,
"Yerno / nuera (037)",286,,2,171,94,19,
"Nieto(a) (038)",934,75,724,126,8,1,
"Padres / suegros (039)",319,,,,5,73,241
"Otro(a) pariente (040)",1419,33,498,531,189,94,74
"Trabajador(a) del hogar (041)",145,,22,107,7,9,
"Pensionistas (042)",50,,1,25,16,6,2
"Otro(a) no pariente (043)",905,5,158,490,153,71,28
"Hombres (044)",12123,197,3692,3316,2387,1751,780
"Jefe o Jefa (045)",4531,,16,730,1715,1448,622
"Esposa(o) / compañera(o) (046)",395,,8,104,137,111,35
"Hijo(a) / hijastro(a) (047)",5129,138,2957,1726,258,50,
"Yerno / nuera (048)",133,,1,65,54,13,
"Nieto(a) (049)",458,38,348,67,5,,
"Padres / suegros (050)",111,,,,3,27,81
"Otro(a) pariente (051)",780,19,258,312,104,58,29
"Trabajador(a) del hogar (052)",47,,15,27,2,3,
"Pensionistas (053)",32,,1,15,11,4,1
"Otro(a) no pariente (054)",507,2,88,270,98,37,12
"Mujeres (055)",12430,175,3649,3481,2541,1699,885
"Jefe o Jefa (056)",1986,,19,395,658,574,340
"Esposa(o) / compañera(o) (057)",3483,,2,767,1451,940,323
"Hijo(a) / hijastro(a) (058)",4971,121,2934,1625,237,54,
"Yerno / nuera (059)",153,,1,106,40,6,
"Nieto(a) (060)",476,37,376,59,3,1,
"Padres / suegros (061)",208,,,,2,46,160
"Otro(a) pariente (062)",639,14,240,219,85,36,45
"Trabajador(a) del hogar (063)",98,,7,80,5,6,
"Pensionistas (064)",18,,,10,5,2,1
"Otro(a) no pariente (065)",398,3,70,220,55,34,16
,,,,,,,
"RURAL (066)",28873,522,9905,6877,5303,4172,2094
"Jefe o Jefa (067)",7106,,12,845,2533,2416,1300
"Esposa(o) / compañera(o) (068)",5112,,4,1063,2089,1482,474
"Hijo(a) / hijastro(a) (069)",13672,373,8605,4178,439,74,3
"Yerno / nuera (070)",350,,7,255,75,12,1
"Nieto(a) (071)",997,112,756,126,3,,
"Padres / suegros (072)",331,,,1,5,78,247
"Otro(a) pariente (073)",1026,33,429,317,114,82,51
"Trabajador(a) del hogar (074)",30,,3,17,6,2,2
"Pensionistas (075)",4,,,2,1,,1
"Otro(a) no pariente (076)",245,4,89,73,38,26,15
"Hombres (077)",14725,279,5049,3601,2685,2141,970
"Jefe o Jefa (078)",5519,,6,656,2128,1895,834
"Esposa(o) / compañera(o) (079)",336,,4,69,142,99,22
"Hijo(a) / hijastro(a) (080)",7329,201,4389,2433,259,46,1
"Yerno / nuera (081)",175,,3,115,47,9,1
"Nieto(a) (082)",507,58,377,70,2,,
"Padres / suegros (083)",117,,,1,3,32,81
"Otro(a) pariente (084)",561,19,214,198,69,39,22
"Trabajador(a) del hogar (085)",11,,3,6,1,1,
"Pensionistas (086)",2,,,1,1,,
"Otro(a) no pariente (087)",168,1,53,52,33,20,9
"Mujeres (088)",14148,243,4856,3276,2618,2031,1124
"Jefe o Jefa (089)",1587,,6,189,405,521,466
"Esposa(o) / compañera(o) (090)",4776,,,994,1947,1383,452
"Hijo(a) / hijastro(a) (091)",6343,172,4216,1745,180,28,2
"Yerno / nuera (092)",175,,4,140,28,3,
"Nieto(a) (093)",490,54,379,56,1,,
"Padres / suegros (094)",214,,,,2,46,166
"Otro(a) pariente (095)",465,14,215,119,45,43,29
"Trabajador(a) del hogar (096)",19,,,11,5,1,2
"Pensionistas (097)",2,,,1,,,1
